Core Power License 0: Core cycles where the core was running with power-delivery for baseline license level 0.  This includes non-AVX codes, SSE, AVX 128-bit, and low-current AVX 256-bit codes.
Core Power License 1: Core cycles where the core was running with power-delivery for license level 1.  This includes high current AVX 256-bit instructions as well as low current AVX 512-bit instructions.
Core Power License 2: Core cycles where the core was running with power-delivery for license level 2 (introduced in Skylake Server michroarchtecture). This includes high current AVX 512-bit instructions.
,,S0,S0,S0,S0,S0,S0P0,S0P0,S0P0,S0P1,S0P1,S0P1,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1,S1,S1P0,S1P0,S1P0,S1P1,S1P1,S1P1,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH4,S1CH4,S1CH4,S1CH4,S1CH4,S1CH4,S1CH4,S1CH4,S1CH5,S1CH5,S1CH5,S1CH5,S1CH5,S1CH5,S1CH5,S1CH5,S1,S1,S1,S1,S1,S1,S1,
Date,Time,Uncore Freq(Ghz),Core Freq(Ghz),Core Power License 0(%),Core Power License 1(%),Core Power License 2(%),UPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),UPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,Uncore Freq(Ghz),Core Freq(Ghz),Core Power License 0(%),Core Power License 1(%),Core Power License 2(%),UPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),UPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-01-14,22:58:12.490,2.00,2.20,100.00,0.00,0.00,1205285772,0.00,0.00,1205287148,0.00,0.00,1205539788,0.00,-1,-1,1205539788,0.00,-1,-1,1205539998,0.00,-1,-1,1205539998,0.00,-1,-1,1205540378,0.00,-1,-1,1205540378,0.00,-1,-1,1205279742,100.00,-1,-1,1205279742,100.00,-1,-1,1205281498,100.00,-1,-1,1205281498,100.00,-1,-1,1205283270,100.00,-1,-1,1205283270,100.00,-1,-1,925771,56.50,56.50,30,344452,5.27,5.27,2.00,2.20,100.00,0.00,0.00,1205183657,0.00,0.00,1205183701,0.00,0.00,1205435868,0.00,-1,-1,1205435868,0.00,-1,-1,1205434967,0.00,-1,-1,1205434967,0.00,-1,-1,1205434359,0.00,-1,-1,1205434359,0.00,-1,-1,1205182692,100.00,-1,-1,1205182692,100.00,-1,-1,1205183161,100.00,-1,-1,1205183161,100.00,-1,-1,1205183459,100.00,-1,-1,1205183459,100.00,-1,-1,922274,56.29,56.29,35,371012,5.68,5.68,
2026-01-14,22:58:13.494,2.00,2.20,100.00,0.00,0.00,1199631768,0.00,0.00,1199632203,0.00,0.00,1199876448,0.00,-1,-1,1199876448,0.00,-1,-1,1199875971,0.00,-1,-1,1199875971,0.00,-1,-1,1199874936,0.00,-1,-1,1199874936,0.00,-1,-1,1199630061,100.00,-1,-1,1199630061,100.00,-1,-1,1199630736,100.00,-1,-1,1199630736,100.00,-1,-1,1199631123,100.00,-1,-1,1199631123,100.00,-1,-1,921185,56.22,56.22,30,340086,5.20,5.20,2.00,2.20,100.00,0.00,0.00,1199628322,0.00,0.00,1199628518,0.00,0.00,1199875565,0.00,-1,-1,1199875565,0.00,-1,-1,1199875680,0.00,-1,-1,1199875680,0.00,-1,-1,1199875419,0.00,-1,-1,1199875419,0.00,-1,-1,1199627178,100.00,-1,-1,1199627178,100.00,-1,-1,1199627468,100.00,-1,-1,1199627468,100.00,-1,-1,1199627700,100.00,-1,-1,1199627700,100.00,-1,-1,917695,56.01,56.01,35,367553,5.62,5.62,
2026-01-14,22:58:14.494,2.00,2.20,100.00,0.00,0.00,1204364795,0.00,0.00,1204365120,0.00,0.00,1204606593,0.00,-1,-1,1204606593,0.00,-1,-1,1204606772,0.00,-1,-1,1204606772,0.00,-1,-1,1204606924,0.00,-1,-1,1204606924,0.00,-1,-1,1204363788,100.00,-1,-1,1204363788,100.00,-1,-1,1204363845,100.00,-1,-1,1204363845,100.00,-1,-1,1204364337,100.00,-1,-1,1204364337,100.00,-1,-1,924737,56.44,56.22,30,338752,5.18,5.16,2.00,2.20,100.00,0.00,0.00,1204356945,0.00,0.00,1204357139,0.00,0.00,1204604754,0.00,-1,-1,1204604754,0.00,-1,-1,1204604692,0.00,-1,-1,1204604692,0.00,-1,-1,1204604586,0.00,-1,-1,1204604586,0.00,-1,-1,1204356290,100.00,-1,-1,1204356290,100.00,-1,-1,1204356404,100.00,-1,-1,1204356404,100.00,-1,-1,1204356716,100.00,-1,-1,1204356716,100.00,-1,-1,922180,56.29,56.06,35,369437,5.65,5.63,
2026-01-14,22:58:15.496,2.00,2.20,100.00,0.00,0.00,1199240213,0.00,0.00,1199240329,0.00,0.00,1199480247,0.00,-1,-1,1199480247,0.00,-1,-1,1199480025,0.00,-1,-1,1199480025,0.00,-1,-1,1199479887,0.00,-1,-1,1199479887,0.00,-1,-1,1199239569,100.00,-1,-1,1199239569,100.00,-1,-1,1199239590,100.00,-1,-1,1199239590,100.00,-1,-1,1199239816,100.00,-1,-1,1199239816,100.00,-1,-1,920844,56.20,56.20,30,340409,5.21,5.21,2.00,2.20,100.00,0.00,0.00,1199249245,0.00,0.00,1199249279,0.00,0.00,1199495269,0.00,-1,-1,1199495269,0.00,-1,-1,1199495022,0.00,-1,-1,1199495022,0.00,-1,-1,1199494965,0.00,-1,-1,1199494965,0.00,-1,-1,1199248902,100.00,-1,-1,1199248902,100.00,-1,-1,1199249013,100.00,-1,-1,1199249013,100.00,-1,-1,1199249094,100.00,-1,-1,1199249094,100.00,-1,-1,917659,56.01,56.01,35,366683,5.61,5.61,
2026-01-14,22:58:16.501,2.00,2.20,100.00,0.00,0.00,1200628769,0.00,0.00,1200629351,0.00,0.00,1200871182,0.00,-1,-1,1200871182,0.00,-1,-1,1200871111,0.00,-1,-1,1200871111,0.00,-1,-1,1200871364,0.00,-1,-1,1200871364,0.00,-1,-1,1200625767,100.00,-1,-1,1200625767,100.00,-1,-1,1200626547,100.00,-1,-1,1200626547,100.00,-1,-1,1200627360,100.00,-1,-1,1200627360,100.00,-1,-1,921830,56.26,56.26,30,341514,5.23,5.23,2.00,2.20,100.00,0.00,0.00,1200618710,0.00,0.00,1200619245,0.00,0.00,1200866571,0.00,-1,-1,1200866571,0.00,-1,-1,1200866814,0.00,-1,-1,1200866814,0.00,-1,-1,1200867086,0.00,-1,-1,1200867086,0.00,-1,-1,1200616870,100.00,-1,-1,1200616870,100.00,-1,-1,1200617260,100.00,-1,-1,1200617260,100.00,-1,-1,1200617600,100.00,-1,-1,1200617600,100.00,-1,-1,922599,56.31,56.31,35,369063,5.65,5.65,
2026-01-14,22:58:17.497,2.00,2.20,100.00,0.00,0.00,1199721322,0.00,0.00,1199721573,0.00,0.00,1199960628,0.00,-1,-1,1199960628,0.00,-1,-1,1199960540,0.00,-1,-1,1199960540,0.00,-1,-1,1199960332,0.00,-1,-1,1199960332,0.00,-1,-1,1199720762,100.00,-1,-1,1199720762,100.00,-1,-1,1199720960,100.00,-1,-1,1199720960,100.00,-1,-1,1199721050,100.00,-1,-1,1199721050,100.00,-1,-1,921111,56.22,56.22,30,340362,5.21,5.21,2.00,2.20,100.00,0.00,0.00,1199675432,0.00,0.00,1199675447,0.00,0.00,1199942912,0.00,-1,-1,1199942912,0.00,-1,-1,1199942826,0.00,-1,-1,1199942826,0.00,-1,-1,1199942656,0.00,-1,-1,1199942656,0.00,-1,-1,1199675073,100.00,-1,-1,1199675073,100.00,-1,-1,1199675174,100.00,-1,-1,1199675174,100.00,-1,-1,1199675319,100.00,-1,-1,1199675319,100.00,-1,-1,915799,55.90,55.90,35,366108,5.60,5.60,
2026-01-14,22:58:18.494,2.00,2.20,100.00,0.00,0.00,1199464616,0.00,0.00,1199464549,0.00,0.00,1199703576,0.00,-1,-1,1199703576,0.00,-1,-1,1199703586,0.00,-1,-1,1199703586,0.00,-1,-1,1199703414,0.00,-1,-1,1199703414,0.00,-1,-1,1199464432,100.00,-1,-1,1199464432,100.00,-1,-1,1199464462,100.00,-1,-1,1199464462,100.00,-1,-1,1199464452,100.00,-1,-1,1199464452,100.00,-1,-1,921053,56.22,56.22,30,339230,5.19,5.19,2.00,2.20,100.00,0.00,0.00,1199435424,0.00,0.00,1199435475,0.00,0.00,1199699689,0.00,-1,-1,1199699689,0.00,-1,-1,1199699673,0.00,-1,-1,1199699673,0.00,-1,-1,1199699540,0.00,-1,-1,1199699540,0.00,-1,-1,1199435389,100.00,-1,-1,1199435389,100.00,-1,-1,1199435448,100.00,-1,-1,1199435448,100.00,-1,-1,1199435461,100.00,-1,-1,1199435461,100.00,-1,-1,918065,56.03,56.03,35,367699,5.63,5.63,
2026-01-14,22:58:19.501,2.00,2.20,100.00,0.00,0.00,1199232694,0.00,0.00,1199232733,0.00,0.00,1199470860,0.00,-1,-1,1199470860,0.00,-1,-1,1199470791,0.00,-1,-1,1199470791,0.00,-1,-1,1199470799,0.00,-1,-1,1199470799,0.00,-1,-1,1199232013,100.00,-1,-1,1199232013,100.00,-1,-1,1199232121,100.00,-1,-1,1199232121,100.00,-1,-1,1199232520,100.00,-1,-1,1199232520,100.00,-1,-1,920330,56.17,56.17,30,339924,5.20,5.20,2.00,2.20,100.00,0.00,0.00,1199254980,0.00,0.00,1199255067,0.00,0.00,1199499081,0.00,-1,-1,1199499081,0.00,-1,-1,1199499000,0.00,-1,-1,1199499000,0.00,-1,-1,1199499093,0.00,-1,-1,1199499093,0.00,-1,-1,1199254959,100.00,-1,-1,1199254959,100.00,-1,-1,1199255067,100.00,-1,-1,1199255067,100.00,-1,-1,1199254986,100.00,-1,-1,1199254986,100.00,-1,-1,921018,56.21,56.21,35,369188,5.65,5.65,
2026-01-14,22:58:20.494,2.00,2.20,100.00,0.00,0.00,1200545710,0.00,0.00,1200545815,0.00,0.00,1200784122,0.00,-1,-1,1200784122,0.00,-1,-1,1200784068,0.00,-1,-1,1200784068,0.00,-1,-1,1200784368,0.00,-1,-1,1200784368,0.00,-1,-1,1200544761,100.00,-1,-1,1200544761,100.00,-1,-1,1200544929,100.00,-1,-1,1200544929,100.00,-1,-1,1200545166,100.00,-1,-1,1200545166,100.00,-1,-1,922098,56.28,56.28,30,340036,5.20,5.20,2.00,2.20,100.00,0.00,0.00,1200512898,0.00,0.00,1200513021,0.00,0.00,1200757098,0.00,-1,-1,1200757098,0.00,-1,-1,1200757101,0.00,-1,-1,1200757101,0.00,-1,-1,1200757017,0.00,-1,-1,1200757017,0.00,-1,-1,1200512612,100.00,-1,-1,1200512612,100.00,-1,-1,1200512679,100.00,-1,-1,1200512679,100.00,-1,-1,1200512765,100.00,-1,-1,1200512765,100.00,-1,-1,916247,55.92,55.92,35,368214,5.63,5.63,
