Socket0_Watts,Socket1_Watts
56.5,56.29
56.22,56.01
56.22,56.06
56.2,56.01
56.26,56.31
56.22,55.9
56.22,56.03
56.17,56.21
56.28,55.92
56.22,56.2
56.22,55.87
56.22,56.04
56.26,56.05
56.22,56.11
56.21,55.99
56.14,56.27
56.25,55.88
56.19,56.2
56.2,55.98
56.2,55.93
56.25,56.23
56.19,55.91
56.2,56.25
56.2,55.92
56.22,56.14
56.21,56.3
56.21,55.78
56.22,56.13
56.26,56.31
56.2,56.02
56.22,55.91
56.21,56.35
56.2,55.76
56.26,56.33
56.2,55.85
56.2,56.06
56.19,56.23
56.21,55.91
56.21,56.18
56.27,56.23
56.21,56.06
56.21,55.99
56.19,55.87
56.2,56.26
56.2,56.04
56.25,56.02
56.2,55.96
56.15,56.06
56.26,56.04
56.2,56.14
56.21,55.98
56.21,56.03
56.2,55.98
56.2,56.1
56.26,56.24
