Core Power License 0: Core cycles where the core was running with power-delivery for baseline license level 0.  This includes non-AVX codes, SSE, AVX 128-bit, and low-current AVX 256-bit codes.
Core Power License 1: Core cycles where the core was running with power-delivery for license level 1.  This includes high current AVX 256-bit instructions as well as low current AVX 512-bit instructions.
Core Power License 2: Core cycles where the core was running with power-delivery for license level 2 (introduced in Skylake Server michroarchtecture). This includes high current AVX 512-bit instructions.
,,S0,S0,S0,S0,S0,S0P0,S0P0,S0P0,S0P1,S0P1,S0P1,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1,S1,S1P0,S1P0,S1P0,S1P1,S1P1,S1P1,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH4,S1CH4,S1CH4,S1CH4,S1CH4,S1CH4,S1CH4,S1CH4,S1CH5,S1CH5,S1CH5,S1CH5,S1CH5,S1CH5,S1CH5,S1CH5,S1,S1,S1,S1,S1,S1,S1,
Date,Time,Uncore Freq(Ghz),Core Freq(Ghz),Core Power License 0(%),Core Power License 1(%),Core Power License 2(%),UPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),UPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,Uncore Freq(Ghz),Core Freq(Ghz),Core Power License 0(%),Core Power License 1(%),Core Power License 2(%),UPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),UPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-01-14,22:57:10.315,2.00,2.20,100.00,0.00,0.00,1205135440,0.00,0.00,1205136868,0.00,0.00,1205367662,0.00,-1,-1,1205367662,0.00,-1,-1,1205367913,0.00,-1,-1,1205367913,0.00,-1,-1,1205368276,0.00,-1,-1,1205368276,0.00,-1,-1,1205129414,100.00,-1,-1,1205129414,100.00,-1,-1,1205131149,100.00,-1,-1,1205131149,100.00,-1,-1,1205132774,100.00,-1,-1,1205132774,100.00,-1,-1,794086,48.47,48.47,38,341917,5.23,5.23,2.00,2.20,100.00,0.00,0.00,1205037856,0.00,0.00,1205037975,0.00,0.00,1205270324,0.00,-1,-1,1205270324,0.00,-1,-1,1205269640,0.00,-1,-1,1205269640,0.00,-1,-1,1205268983,0.00,-1,-1,1205268983,0.00,-1,-1,1205037318,100.00,-1,-1,1205037318,100.00,-1,-1,1205037555,100.00,-1,-1,1205037555,100.00,-1,-1,1205037624,100.00,-1,-1,1205037624,100.00,-1,-1,793368,48.42,48.42,42,370046,5.66,5.66,
2026-01-14,22:57:11.309,2.00,2.20,100.00,0.00,0.00,1199092208,0.00,0.00,1199093062,0.00,0.00,1199317675,0.00,-1,-1,1199317675,0.00,-1,-1,1199317175,0.00,-1,-1,1199317175,0.00,-1,-1,1199316092,0.00,-1,-1,1199316092,0.00,-1,-1,1199090469,100.00,-1,-1,1199090469,100.00,-1,-1,1199091125,100.00,-1,-1,1199091125,100.00,-1,-1,1199091356,100.00,-1,-1,1199091356,100.00,-1,-1,791083,48.28,48.28,38,340213,5.21,5.21,2.00,2.20,100.00,0.00,0.00,1199106969,0.00,0.00,1199107235,0.00,0.00,1199333962,0.00,-1,-1,1199333962,0.00,-1,-1,1199333988,0.00,-1,-1,1199333988,0.00,-1,-1,1199334123,0.00,-1,-1,1199334123,0.00,-1,-1,1199105421,100.00,-1,-1,1199105421,100.00,-1,-1,1199105834,100.00,-1,-1,1199105834,100.00,-1,-1,1199106337,100.00,-1,-1,1199106337,100.00,-1,-1,784554,47.89,47.89,42,365725,5.60,5.60,
2026-01-14,22:57:12.309,2.00,2.20,100.00,0.00,0.00,1200517168,0.00,0.00,1200517146,0.00,0.00,1200736203,0.00,-1,-1,1200736203,0.00,-1,-1,1200735910,0.00,-1,-1,1200735910,0.00,-1,-1,1200735858,0.00,-1,-1,1200735858,0.00,-1,-1,1200516638,100.00,-1,-1,1200516638,100.00,-1,-1,1200516783,100.00,-1,-1,1200516783,100.00,-1,-1,1200516869,100.00,-1,-1,1200516869,100.00,-1,-1,792497,48.37,48.37,38,341534,5.23,5.23,2.00,2.20,100.00,0.00,0.00,1200480078,0.00,0.00,1200480089,0.00,0.00,1200705174,0.00,-1,-1,1200705174,0.00,-1,-1,1200705072,0.00,-1,-1,1200705072,0.00,-1,-1,1200704659,0.00,-1,-1,1200704659,0.00,-1,-1,1200479928,100.00,-1,-1,1200479928,100.00,-1,-1,1200479990,100.00,-1,-1,1200479990,100.00,-1,-1,1200479998,100.00,-1,-1,1200479998,100.00,-1,-1,789118,48.16,48.16,42,366766,5.61,5.61,
2026-01-14,22:57:13.310,2.00,2.20,100.00,0.00,0.00,1199794200,0.00,0.00,1199794368,0.00,0.00,1200011568,0.00,-1,-1,1200011568,0.00,-1,-1,1200011385,0.00,-1,-1,1200011385,0.00,-1,-1,1200011367,0.00,-1,-1,1200011367,0.00,-1,-1,1199793538,100.00,-1,-1,1199793538,100.00,-1,-1,1199793700,100.00,-1,-1,1199793700,100.00,-1,-1,1199793714,100.00,-1,-1,1199793714,100.00,-1,-1,791157,48.29,48.29,37,341242,5.22,5.22,2.00,2.20,100.00,0.00,0.00,1199795287,0.00,0.00,1199795329,0.00,0.00,1200019796,0.00,-1,-1,1200019796,0.00,-1,-1,1200019560,0.00,-1,-1,1200019560,0.00,-1,-1,1200019631,0.00,-1,-1,1200019631,0.00,-1,-1,1199794938,100.00,-1,-1,1199794938,100.00,-1,-1,1199795109,100.00,-1,-1,1199795109,100.00,-1,-1,1199795184,100.00,-1,-1,1199795184,100.00,-1,-1,790001,48.22,48.22,42,367990,5.63,5.63,
2026-01-14,22:57:14.307,2.00,2.20,100.00,0.00,0.00,1199111509,0.00,0.00,1199111571,0.00,0.00,1199327862,0.00,-1,-1,1199327862,0.00,-1,-1,1199328101,0.00,-1,-1,1199328101,0.00,-1,-1,1199328250,0.00,-1,-1,1199328250,0.00,-1,-1,1199111139,100.00,-1,-1,1199111139,100.00,-1,-1,1199111283,100.00,-1,-1,1199111283,100.00,-1,-1,1199111344,100.00,-1,-1,1199111344,100.00,-1,-1,791319,48.30,48.30,38,340880,5.22,5.22,2.00,2.20,100.00,0.00,0.00,1199114678,0.00,0.00,1199114770,0.00,0.00,1199338494,0.00,-1,-1,1199338494,0.00,-1,-1,1199338531,0.00,-1,-1,1199338531,0.00,-1,-1,1199338449,0.00,-1,-1,1199338449,0.00,-1,-1,1199114400,100.00,-1,-1,1199114400,100.00,-1,-1,1199114619,100.00,-1,-1,1199114619,100.00,-1,-1,1199114695,100.00,-1,-1,1199114695,100.00,-1,-1,785275,47.93,47.93,42,365826,5.60,5.60,
2026-01-14,22:57:15.311,2.00,2.20,100.00,0.00,0.00,1204875016,0.00,0.00,1204875205,0.00,0.00,1205092029,0.00,-1,-1,1205092029,0.00,-1,-1,1205092038,0.00,-1,-1,1205092038,0.00,-1,-1,1205091878,0.00,-1,-1,1205091878,0.00,-1,-1,1204874679,100.00,-1,-1,1204874679,100.00,-1,-1,1204874676,100.00,-1,-1,1204874676,100.00,-1,-1,1204874663,100.00,-1,-1,1204874663,100.00,-1,-1,796399,48.61,48.41,37,341994,5.23,5.21,2.00,2.20,100.00,0.00,0.00,1204848413,0.00,0.00,1204848485,0.00,0.00,1205072334,0.00,-1,-1,1205072334,0.00,-1,-1,1205072349,0.00,-1,-1,1205072349,0.00,-1,-1,1205072116,0.00,-1,-1,1205072116,0.00,-1,-1,1204848080,100.00,-1,-1,1204848080,100.00,-1,-1,1204848231,100.00,-1,-1,1204848231,100.00,-1,-1,1204848312,100.00,-1,-1,1204848312,100.00,-1,-1,792255,48.36,48.16,42,367673,5.63,5.60,
2026-01-14,22:57:16.315,2.00,2.20,100.00,0.00,0.00,1200351268,0.00,0.00,1200351395,0.00,0.00,1200568889,0.00,-1,-1,1200568889,0.00,-1,-1,1200568818,0.00,-1,-1,1200568818,0.00,-1,-1,1200569050,0.00,-1,-1,1200569050,0.00,-1,-1,1200350445,100.00,-1,-1,1200350445,100.00,-1,-1,1200351014,100.00,-1,-1,1200351014,100.00,-1,-1,1200351015,100.00,-1,-1,1200351015,100.00,-1,-1,792420,48.37,48.37,37,340317,5.21,5.21,2.00,2.20,100.00,0.00,0.00,1200344839,0.00,0.00,1200344892,0.00,0.00,1200590674,0.00,-1,-1,1200590674,0.00,-1,-1,1200590658,0.00,-1,-1,1200590658,0.00,-1,-1,1200590982,0.00,-1,-1,1200590982,0.00,-1,-1,1200344664,100.00,-1,-1,1200344664,100.00,-1,-1,1200344726,100.00,-1,-1,1200344726,100.00,-1,-1,1200344697,100.00,-1,-1,1200344697,100.00,-1,-1,788486,48.13,48.13,42,366232,5.60,5.60,
2026-01-14,22:57:17.311,2.00,2.20,100.00,0.00,0.00,1199512192,0.00,0.00,1199512307,0.00,0.00,1199729764,0.00,-1,-1,1199729764,0.00,-1,-1,1199729737,0.00,-1,-1,1199729737,0.00,-1,-1,1199729639,0.00,-1,-1,1199729639,0.00,-1,-1,1199511981,100.00,-1,-1,1199511981,100.00,-1,-1,1199512049,100.00,-1,-1,1199512049,100.00,-1,-1,1199512041,100.00,-1,-1,1199512041,100.00,-1,-1,794599,48.50,48.50,37,342617,5.24,5.24,2.00,2.20,100.00,0.00,0.00,1199480636,0.00,0.00,1199480703,0.00,0.00,1199704884,0.00,-1,-1,1199704884,0.00,-1,-1,1199704965,0.00,-1,-1,1199704965,0.00,-1,-1,1199704979,0.00,-1,-1,1199704979,0.00,-1,-1,1199480595,100.00,-1,-1,1199480595,100.00,-1,-1,1199480584,100.00,-1,-1,1199480584,100.00,-1,-1,1199480643,100.00,-1,-1,1199480643,100.00,-1,-1,788531,48.13,48.13,41,366759,5.61,5.61,
2026-01-14,22:57:18.313,2.00,2.20,100.00,0.00,0.00,1199521659,0.00,0.00,1199521677,0.00,0.00,1199738960,0.00,-1,-1,1199738960,0.00,-1,-1,1199738697,0.00,-1,-1,1199738697,0.00,-1,-1,1199738479,0.00,-1,-1,1199738479,0.00,-1,-1,1199521488,100.00,-1,-1,1199521488,100.00,-1,-1,1199521477,100.00,-1,-1,1199521477,100.00,-1,-1,1199521466,100.00,-1,-1,1199521466,100.00,-1,-1,794264,48.48,48.48,37,341194,5.22,5.22,2.00,2.20,100.00,0.00,0.00,1199523359,0.00,0.00,1199523327,0.00,0.00,1199747697,0.00,-1,-1,1199747697,0.00,-1,-1,1199747690,0.00,-1,-1,1199747690,0.00,-1,-1,1199747544,0.00,-1,-1,1199747544,0.00,-1,-1,1199523278,100.00,-1,-1,1199523278,100.00,-1,-1,1199523422,100.00,-1,-1,1199523422,100.00,-1,-1,1199523405,100.00,-1,-1,1199523405,100.00,-1,-1,788469,48.12,48.12,42,366167,5.60,5.60,
