Socket0_Watts,Socket1_Watts
48.47,48.42
48.28,47.89
48.37,48.16
48.29,48.22
48.3,47.93
48.41,48.16
48.37,48.13
48.5,48.13
48.48,48.12
48.62,48.29
48.67,48.09
48.91,48.36
49.02,48.01
49.02,48.38
48.95,48.15
49.07,48.22
49.27,48.24
49.33,48.34
49.48,48.22
49.54,48.42
49.55,48.11
49.17,48.43
49.62,48.12
49.51,48.33
49.62,48.35
49.49,48.46
49.57,48.23
49.78,48.48
49.78,48.45
49.82,48.85
49.8,48.92
49.8,48.78
49.83,49.16
49.82,49.21
49.9,48.97
49.78,49.56
49.9,49.33
49.86,49.53
49.84,49.31
49.84,49.58
49.82,49.5
49.8,49.48
49.85,49.45
49.75,49.49
49.86,49.6
49.81,49.86
49.81,49.45
49.85,49.65
49.9,49.86
49.85,49.58
49.87,49.94
49.87,49.64
49.87,49.68
49.86,49.7
49.85,49.79
