,,S0P0,S0P0,S0P0,S0P1,S0P1,S0P1,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0,S0,S0,S0,S0,S0,S0,S1P0,S1P0,S1P0,S1P1,S1P1,S1P1,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1,S1,S1,S1,S1,S1,S1,
Date,Time,QPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),QPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,QPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),QPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-01-15,05:38:32.036,2402108318,0.00,0.00,2402109578,0.00,0.00,1067751633,0.00,-1,-1,1067751633,0.00,-1,-1,1067751030,0.00,-1,-1,1067751030,0.00,-1,-1,1067750174,0.00,-1,-1,1067750174,0.00,-1,-1,1067749626,0.00,-1,-1,1067749626,0.00,-1,-1,1408902,85.99,86.16,32,721485,11.04,11.06,2401969018,0.00,0.00,2401969790,0.00,0.00,1067685832,0.00,-1,-1,1067685832,0.00,-1,-1,1067685702,0.00,-1,-1,1067685702,0.00,-1,-1,1067685161,0.00,-1,-1,1067685161,0.00,-1,-1,1067685152,0.00,-1,-1,1067685152,0.00,-1,-1,1344432,82.06,82.22,44,728043,11.14,11.16,
2026-01-15,05:38:33.035,2394530850,0.00,0.00,2394531454,0.00,0.00,1064376837,0.00,-1,-1,1064376837,0.00,-1,-1,1064376725,0.00,-1,-1,1064376725,0.00,-1,-1,1064376621,0.00,-1,-1,1064376621,0.00,-1,-1,1064376528,0.00,-1,-1,1064376528,0.00,-1,-1,1404762,85.74,85.91,31,718205,10.99,11.01,2394579946,0.00,0.00,2394580238,0.00,0.00,1064400056,0.00,-1,-1,1064400056,0.00,-1,-1,1064400080,0.00,-1,-1,1064400080,0.00,-1,-1,1064400080,0.00,-1,-1,1064400080,0.00,-1,-1,1064400078,0.00,-1,-1,1064400078,0.00,-1,-1,1339053,81.73,81.89,45,724221,11.08,11.10,
2026-01-15,05:38:34.037,2393897014,0.00,0.00,2393897502,0.00,0.00,1064094096,0.00,-1,-1,1064094096,0.00,-1,-1,1064093918,0.00,-1,-1,1064093918,0.00,-1,-1,1064093800,0.00,-1,-1,1064093800,0.00,-1,-1,1064093930,0.00,-1,-1,1064093930,0.00,-1,-1,1403277,85.65,85.91,30,717604,10.98,11.01,2393842686,0.00,0.00,2393842914,0.00,0.00,1064094251,0.00,-1,-1,1064094251,0.00,-1,-1,1064094228,0.00,-1,-1,1064094228,0.00,-1,-1,1064094238,0.00,-1,-1,1064094238,0.00,-1,-1,1064094362,0.00,-1,-1,1064094362,0.00,-1,-1,1340472,81.82,82.06,45,727094,11.12,11.16,
2026-01-15,05:38:35.035,2393941674,0.00,0.00,2393942178,0.00,0.00,1064114178,0.00,-1,-1,1064114178,0.00,-1,-1,1064114316,0.00,-1,-1,1064114316,0.00,-1,-1,1064114352,0.00,-1,-1,1064114352,0.00,-1,-1,1064114220,0.00,-1,-1,1064114220,0.00,-1,-1,1404830,85.74,85.92,30,716925,10.97,10.99,2393943282,0.00,0.00,2393943482,0.00,0.00,1064116843,0.00,-1,-1,1064116843,0.00,-1,-1,1064117198,0.00,-1,-1,1064117198,0.00,-1,-1,1064117275,0.00,-1,-1,1064117275,0.00,-1,-1,1064117081,0.00,-1,-1,1064117081,0.00,-1,-1,1340593,81.82,81.99,44,727029,11.12,11.15,
2026-01-15,05:38:36.033,2394087982,0.00,0.00,2394088318,0.00,0.00,1064178854,0.00,-1,-1,1064178854,0.00,-1,-1,1064178723,0.00,-1,-1,1064178723,0.00,-1,-1,1064178734,0.00,-1,-1,1064178734,0.00,-1,-1,1064178710,0.00,-1,-1,1064178710,0.00,-1,-1,1404742,85.74,85.91,31,719563,11.01,11.03,2394069106,0.00,0.00,2394069306,0.00,0.00,1064173105,0.00,-1,-1,1064173105,0.00,-1,-1,1064172977,0.00,-1,-1,1064172977,0.00,-1,-1,1064173062,0.00,-1,-1,1064173062,0.00,-1,-1,1064173135,0.00,-1,-1,1064173135,0.00,-1,-1,1339188,81.74,81.90,44,724405,11.08,11.11,
2026-01-15,05:38:37.036,2394897170,0.00,0.00,2394897730,0.00,0.00,1064538001,0.00,-1,-1,1064538001,0.00,-1,-1,1064538000,0.00,-1,-1,1064538000,0.00,-1,-1,1064537960,0.00,-1,-1,1064537960,0.00,-1,-1,1064537914,0.00,-1,-1,1064537914,0.00,-1,-1,1404996,85.75,85.93,30,721144,11.03,11.06,2394940114,0.00,0.00,2394940602,0.00,0.00,1064560716,0.00,-1,-1,1064560716,0.00,-1,-1,1064560575,0.00,-1,-1,1064560575,0.00,-1,-1,1064560552,0.00,-1,-1,1064560552,0.00,-1,-1,1064560541,0.00,-1,-1,1064560541,0.00,-1,-1,1344652,82.07,82.24,44,727107,11.12,11.15,
2026-01-15,05:38:38.034,2394440254,0.00,0.00,2394440894,0.00,0.00,1064335030,0.00,-1,-1,1064335030,0.00,-1,-1,1064335046,0.00,-1,-1,1064335046,0.00,-1,-1,1064335113,0.00,-1,-1,1064335113,0.00,-1,-1,1064335189,0.00,-1,-1,1064335189,0.00,-1,-1,1405000,85.75,86.01,31,717209,10.97,11.01,2394433102,0.00,0.00,2394433458,0.00,0.00,1064334883,0.00,-1,-1,1064334883,0.00,-1,-1,1064334714,0.00,-1,-1,1064334714,0.00,-1,-1,1064334568,0.00,-1,-1,1064334568,0.00,-1,-1,1064334600,0.00,-1,-1,1064334600,0.00,-1,-1,1336812,81.59,81.84,44,720187,11.02,11.05,
2026-01-15,05:38:39.038,2392576122,0.00,0.00,2392576786,0.00,0.00,1063506867,0.00,-1,-1,1063506867,0.00,-1,-1,1063506877,0.00,-1,-1,1063506877,0.00,-1,-1,1063506837,0.00,-1,-1,1063506837,0.00,-1,-1,1063506782,0.00,-1,-1,1063506782,0.00,-1,-1,1403461,85.66,85.92,30,720822,11.03,11.06,2392523614,0.00,0.00,2392523958,0.00,0.00,1063485770,0.00,-1,-1,1063485770,0.00,-1,-1,1063485876,0.00,-1,-1,1063485876,0.00,-1,-1,1063485891,0.00,-1,-1,1063485891,0.00,-1,-1,1063485964,0.00,-1,-1,1063485964,0.00,-1,-1,1344923,82.09,82.33,44,728799,11.15,11.18,
2026-01-15,05:38:40.033,2392173330,0.00,0.00,2392173934,0.00,0.00,1063327590,0.00,-1,-1,1063327590,0.00,-1,-1,1063327642,0.00,-1,-1,1063327642,0.00,-1,-1,1063327641,0.00,-1,-1,1063327641,0.00,-1,-1,1063327691,0.00,-1,-1,1063327691,0.00,-1,-1,1402112,85.58,85.84,30,717991,10.99,11.02,2392173934,0.00,0.00,2392174374,0.00,0.00,1063330582,0.00,-1,-1,1063330582,0.00,-1,-1,1063330654,0.00,-1,-1,1063330654,0.00,-1,-1,1063330656,0.00,-1,-1,1063330656,0.00,-1,-1,1063330682,0.00,-1,-1,1063330682,0.00,-1,-1,1334622,81.46,81.70,43,721000,11.03,11.06,
