,,S0P0,S0P0,S0P0,S0P1,S0P1,S0P1,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0,S0,S0,S0,S0,S0,S0,S1P0,S1P0,S1P0,S1P1,S1P1,S1P1,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1,S1,S1,S1,S1,S1,S1,
Date,Time,QPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),QPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,QPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),QPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-01-15,05:37:29.868,2397514238,0.00,0.00,2397515734,0.00,0.00,1065711459,0.00,-1,-1,1065711459,0.00,-1,-1,1065711025,0.00,-1,-1,1065711025,0.00,-1,-1,1065710662,0.00,-1,-1,1065710662,0.00,-1,-1,1065710182,0.00,-1,-1,1065710182,0.00,-1,-1,1336013,81.54,81.71,37,719527,11.01,11.03,2397179470,0.00,0.00,2397179710,0.00,0.00,1065576859,0.00,-1,-1,1065576859,0.00,-1,-1,1065576922,0.00,-1,-1,1065576922,0.00,-1,-1,1065576917,0.00,-1,-1,1065576917,0.00,-1,-1,1065576926,0.00,-1,-1,1065576926,0.00,-1,-1,1277438,77.97,78.12,51,725304,11.10,11.12,
2026-01-15,05:37:30.868,2395262314,0.00,0.00,2395262962,0.00,0.00,1064703113,0.00,-1,-1,1064703113,0.00,-1,-1,1064702781,0.00,-1,-1,1064702781,0.00,-1,-1,1064702395,0.00,-1,-1,1064702395,0.00,-1,-1,1064702511,0.00,-1,-1,1064702511,0.00,-1,-1,1335359,81.50,81.67,38,718782,11.00,11.02,2395202622,0.00,0.00,2395203102,0.00,0.00,1064677928,0.00,-1,-1,1064677928,0.00,-1,-1,1064677834,0.00,-1,-1,1064677834,0.00,-1,-1,1064677776,0.00,-1,-1,1064677776,0.00,-1,-1,1064677775,0.00,-1,-1,1064677775,0.00,-1,-1,1278876,78.06,78.21,51,728040,11.14,11.16,
2026-01-15,05:37:31.866,2393311898,0.00,0.00,2393312222,0.00,0.00,1063835421,0.00,-1,-1,1063835421,0.00,-1,-1,1063835400,0.00,-1,-1,1063835400,0.00,-1,-1,1063835371,0.00,-1,-1,1063835371,0.00,-1,-1,1063835421,0.00,-1,-1,1063835421,0.00,-1,-1,1334032,81.42,81.59,37,717056,10.97,10.99,2393346478,0.00,0.00,2393346798,0.00,0.00,1063852466,0.00,-1,-1,1063852466,0.00,-1,-1,1063852371,0.00,-1,-1,1063852371,0.00,-1,-1,1063852228,0.00,-1,-1,1063852228,0.00,-1,-1,1063852192,0.00,-1,-1,1063852192,0.00,-1,-1,1272616,77.67,77.83,50,724025,11.08,11.10,
2026-01-15,05:37:32.868,2394767298,0.00,0.00,2394767650,0.00,0.00,1064482468,0.00,-1,-1,1064482468,0.00,-1,-1,1064482496,0.00,-1,-1,1064482496,0.00,-1,-1,1064482541,0.00,-1,-1,1064482541,0.00,-1,-1,1064482540,0.00,-1,-1,1064482540,0.00,-1,-1,1336220,81.56,81.72,37,718356,10.99,11.01,2394734622,0.00,0.00,2394734854,0.00,0.00,1064469140,0.00,-1,-1,1064469140,0.00,-1,-1,1064469233,0.00,-1,-1,1064469233,0.00,-1,-1,1064469294,0.00,-1,-1,1064469294,0.00,-1,-1,1064469279,0.00,-1,-1,1064469279,0.00,-1,-1,1280477,78.15,78.31,49,730415,11.18,11.20,
2026-01-15,05:37:33.869,2395890886,0.00,0.00,2395891174,0.00,0.00,1064981325,0.00,-1,-1,1064981325,0.00,-1,-1,1064980993,0.00,-1,-1,1064980993,0.00,-1,-1,1064980811,0.00,-1,-1,1064980811,0.00,-1,-1,1064980533,0.00,-1,-1,1064980533,0.00,-1,-1,1338039,81.67,81.83,37,718594,10.99,11.02,2395918322,0.00,0.00,2395918618,0.00,0.00,1064995514,0.00,-1,-1,1064995514,0.00,-1,-1,1064995421,0.00,-1,-1,1064995421,0.00,-1,-1,1064995479,0.00,-1,-1,1064995479,0.00,-1,-1,1064995484,0.00,-1,-1,1064995484,0.00,-1,-1,1274054,77.76,77.92,48,725571,11.10,11.12,
2026-01-15,05:37:34.867,2395405014,0.00,0.00,2395405526,0.00,0.00,1064763573,0.00,-1,-1,1064763573,0.00,-1,-1,1064763829,0.00,-1,-1,1064763829,0.00,-1,-1,1064763776,0.00,-1,-1,1064763776,0.00,-1,-1,1064763784,0.00,-1,-1,1064763784,0.00,-1,-1,1337647,81.64,81.81,37,720522,11.02,11.05,2395345982,0.00,0.00,2395346190,0.00,0.00,1064741238,0.00,-1,-1,1064741238,0.00,-1,-1,1064741163,0.00,-1,-1,1064741163,0.00,-1,-1,1064741200,0.00,-1,-1,1064741200,0.00,-1,-1,1064741180,0.00,-1,-1,1064741180,0.00,-1,-1,1277013,77.94,78.10,49,726771,11.12,11.14,
2026-01-15,05:37:35.871,2394817570,0.00,0.00,2394818022,0.00,0.00,1064503320,0.00,-1,-1,1064503320,0.00,-1,-1,1064503355,0.00,-1,-1,1064503355,0.00,-1,-1,1064503566,0.00,-1,-1,1064503566,0.00,-1,-1,1064503830,0.00,-1,-1,1064503830,0.00,-1,-1,1338577,81.70,81.86,37,718730,11.00,11.02,2394821658,0.00,0.00,2394822098,0.00,0.00,1064507781,0.00,-1,-1,1064507781,0.00,-1,-1,1064507849,0.00,-1,-1,1064507849,0.00,-1,-1,1064526338,0.00,-1,-1,1064526338,0.00,-1,-1,1064526449,0.00,-1,-1,1064526449,0.00,-1,-1,1282577,78.28,78.44,49,728636,11.15,11.17,
2026-01-15,05:37:36.868,2394591826,0.00,0.00,2394592066,0.00,0.00,1064403785,0.00,-1,-1,1064403785,0.00,-1,-1,1064403574,0.00,-1,-1,1064403574,0.00,-1,-1,1064403321,0.00,-1,-1,1064403321,0.00,-1,-1,1064403064,0.00,-1,-1,1064403064,0.00,-1,-1,1339008,81.73,81.89,37,720125,11.02,11.04,2394579610,0.00,0.00,2394580006,0.00,0.00,1064419273,0.00,-1,-1,1064419273,0.00,-1,-1,1064419307,0.00,-1,-1,1064419307,0.00,-1,-1,1064400731,0.00,-1,-1,1064400731,0.00,-1,-1,1064400687,0.00,-1,-1,1064400687,0.00,-1,-1,1273171,77.71,77.86,49,724674,11.09,11.11,
2026-01-15,05:37:37.868,2394711710,0.00,0.00,2394712122,0.00,0.00,1064455829,0.00,-1,-1,1064455829,0.00,-1,-1,1064455870,0.00,-1,-1,1064455870,0.00,-1,-1,1064455921,0.00,-1,-1,1064455921,0.00,-1,-1,1064455992,0.00,-1,-1,1064455992,0.00,-1,-1,1339479,81.76,81.92,36,717082,10.97,10.99,2394672890,0.00,0.00,2394673214,0.00,0.00,1064442040,0.00,-1,-1,1064442040,0.00,-1,-1,1064442101,0.00,-1,-1,1064442101,0.00,-1,-1,1064442102,0.00,-1,-1,1064442102,0.00,-1,-1,1064442099,0.00,-1,-1,1064442099,0.00,-1,-1,1278669,78.04,78.20,48,725562,11.10,11.12,
2026-01-15,05:37:38.875,2403699918,0.00,0.00,2403700414,0.00,0.00,1068450833,0.00,-1,-1,1068450833,0.00,-1,-1,1068450789,0.00,-1,-1,1068450789,0.00,-1,-1,1068451091,0.00,-1,-1,1068451091,0.00,-1,-1,1068451098,0.00,-1,-1,1068451098,0.00,-1,-1,1344940,82.09,81.92,35,720527,11.02,11.00,2403682242,0.00,0.00,2403682558,0.00,0.00,1068446151,0.00,-1,-1,1068446151,0.00,-1,-1,1068446072,0.00,-1,-1,1068446072,0.00,-1,-1,1068446075,0.00,-1,-1,1068446075,0.00,-1,-1,1068446059,0.00,-1,-1,1068446059,0.00,-1,-1,1282550,78.28,78.12,48,725439,11.10,11.08,
2026-01-15,05:37:39.876,2394764646,0.00,0.00,2394765190,0.00,0.00,1064480126,0.00,-1,-1,1064480126,0.00,-1,-1,1064480160,0.00,-1,-1,1064480160,0.00,-1,-1,1064479848,0.00,-1,-1,1064479848,0.00,-1,-1,1064479739,0.00,-1,-1,1064479739,0.00,-1,-1,1339907,81.78,81.95,36,718507,10.99,11.02,2394759762,0.00,0.00,2394760062,0.00,0.00,1064480539,0.00,-1,-1,1064480539,0.00,-1,-1,1064480551,0.00,-1,-1,1064480551,0.00,-1,-1,1064480520,0.00,-1,-1,1064480520,0.00,-1,-1,1064480540,0.00,-1,-1,1064480540,0.00,-1,-1,1279663,78.10,78.26,49,725189,11.10,11.12,
2026-01-15,05:37:40.876,2394322178,0.00,0.00,2394322650,0.00,0.00,1064282657,0.00,-1,-1,1064282657,0.00,-1,-1,1064282679,0.00,-1,-1,1064282679,0.00,-1,-1,1064282649,0.00,-1,-1,1064282649,0.00,-1,-1,1064282647,0.00,-1,-1,1064282647,0.00,-1,-1,1338715,81.71,81.95,36,719579,11.01,11.04,2394308190,0.00,0.00,2394308510,0.00,0.00,1064279524,0.00,-1,-1,1064279524,0.00,-1,-1,1064279835,0.00,-1,-1,1064279835,0.00,-1,-1,1064279766,0.00,-1,-1,1064279766,0.00,-1,-1,1064279707,0.00,-1,-1,1064279707,0.00,-1,-1,1279715,78.11,78.34,49,725758,11.10,11.14,
