,,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,
Date,Time,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-01-16,00:38:19.068,1203037998,100.00,-1,-1,1203037998,0.00,2,1203037998,1203037995,100.00,-1,-1,1203037995,0.00,2,1203037995,1203037995,100.00,-1,-1,1203037995,0.00,2,1203037995,1203037992,100.00,-1,-1,1203037992,0.00,2,1203037992,1203037992,100.00,-1,-1,1203037992,0.00,2,1203037992,1203037992,100.00,-1,-1,1203037992,0.00,2,1203037992,1203037992,100.00,-1,-1,1203037992,0.00,2,1203037992,1203037989,100.00,-1,-1,1203037989,0.00,2,1203037989,1102844209,0.00,0.00,0.00,2255244,137.65,137.65,45,109582,6.69,6.69,
2026-01-16,00:38:20.068,1198199442,100.00,-1,-1,1198199442,0.00,2,1198199442,1198199442,100.00,-1,-1,1198199442,0.00,2,1198199442,1198199442,100.00,-1,-1,1198199442,0.00,2,1198199442,1198199439,100.00,-1,-1,1198199439,0.00,2,1198199439,1198199439,100.00,-1,-1,1198199439,0.00,2,1198199439,1198199436,100.00,-1,-1,1198199436,0.00,2,1198199436,1198199433,100.00,-1,-1,1198199433,0.00,2,1198199433,1198199433,100.00,-1,-1,1198199433,0.00,2,1198199433,1098411760,0.00,0.00,0.00,2245165,137.03,137.03,45,110226,6.73,6.73,
2026-01-16,00:38:21.068,1196843652,100.00,-1,-1,1196843652,0.00,2,1196843652,1196843652,100.00,-1,-1,1196843652,0.00,2,1196843652,1196843655,100.00,-1,-1,1196843655,0.00,2,1196843655,1196843655,100.00,-1,-1,1196843655,0.00,2,1196843655,1196843658,100.00,-1,-1,1196843658,0.00,2,1196843658,1196843652,100.00,-1,-1,1196843652,0.00,2,1196843652,1196843655,100.00,-1,-1,1196843655,0.00,2,1196843655,1196843652,100.00,-1,-1,1196843652,0.00,2,1196843652,1097176635,0.00,0.00,0.00,2244955,137.02,137.02,44,110641,6.75,6.75,
2026-01-16,00:38:22.068,1196844729,100.00,-1,-1,1196844729,0.00,2,1196844729,1196844726,100.00,-1,-1,1196844726,0.00,2,1196844726,1196844720,100.00,-1,-1,1196844720,0.00,2,1196844720,1196844720,100.00,-1,-1,1196844720,0.00,2,1196844720,1196844698,100.00,-1,-1,1196844698,0.00,2,1196844698,1196844696,100.00,-1,-1,1196844696,0.00,2,1196844696,1196844696,100.00,-1,-1,1196844696,0.00,2,1196844696,1196844696,100.00,-1,-1,1196844696,0.00,2,1196844696,1097175354,0.00,0.00,0.00,2242246,136.86,136.86,44,110904,6.77,6.77,
2026-01-16,00:38:23.070,1196841549,100.00,-1,-1,1196841549,0.00,2,1196841549,1196841552,100.00,-1,-1,1196841552,0.00,2,1196841552,1196841552,100.00,-1,-1,1196841552,0.00,2,1196841552,1196841552,100.00,-1,-1,1196841552,0.00,2,1196841552,1196841555,100.00,-1,-1,1196841555,0.00,2,1196841555,1196841558,100.00,-1,-1,1196841558,0.00,2,1196841558,1196841558,100.00,-1,-1,1196841558,0.00,2,1196841558,1196841561,100.00,-1,-1,1196841561,0.00,2,1196841561,1097176231,0.00,0.00,0.00,2244567,137.00,137.00,44,110313,6.73,6.73,
2026-01-16,00:38:24.071,1197184653,100.00,-1,-1,1197184653,0.00,2,1197184653,1197184650,100.00,-1,-1,1197184650,0.00,2,1197184650,1197184653,100.00,-1,-1,1197184653,0.00,2,1197184653,1197184653,100.00,-1,-1,1197184653,0.00,2,1197184653,1197184650,100.00,-1,-1,1197184650,0.00,2,1197184650,1197184653,100.00,-1,-1,1197184653,0.00,2,1197184653,1197184650,100.00,-1,-1,1197184650,0.00,2,1197184650,1197184653,100.00,-1,-1,1197184653,0.00,2,1197184653,1097483618,0.00,0.00,0.00,2244330,136.98,136.98,44,110845,6.77,6.77,
2026-01-16,00:38:25.067,1197178755,100.00,-1,-1,1197178755,0.00,2,1197178755,1197178755,100.00,-1,-1,1197178755,0.00,2,1197178755,1197178755,100.00,-1,-1,1197178755,0.00,2,1197178755,1197178755,100.00,-1,-1,1197178755,0.00,2,1197178755,1197178755,100.00,-1,-1,1197178755,0.00,2,1197178755,1197178755,100.00,-1,-1,1197178755,0.00,2,1197178755,1197178758,100.00,-1,-1,1197178758,0.00,2,1197178758,1197178761,100.00,-1,-1,1197178761,0.00,2,1197178761,1097479856,0.00,0.00,0.00,2245263,137.04,137.04,44,109619,6.69,6.69,
2026-01-16,00:38:26.069,1198023324,100.00,-1,-1,1198023324,0.00,2,1198023324,1198023324,100.00,-1,-1,1198023324,0.00,2,1198023324,1198023324,100.00,-1,-1,1198023324,0.00,2,1198023324,1198023327,100.00,-1,-1,1198023327,0.00,2,1198023327,1198023324,100.00,-1,-1,1198023324,0.00,2,1198023324,1198023321,100.00,-1,-1,1198023321,0.00,2,1198023321,1198023321,100.00,-1,-1,1198023321,0.00,2,1198023321,1198023321,100.00,-1,-1,1198023321,0.00,2,1198023321,1098261101,0.00,0.00,0.00,2248214,137.22,137.22,44,109831,6.70,6.70,
2026-01-16,00:38:27.070,1196309100,100.00,-1,-1,1196309100,0.00,2,1196309100,1196309097,100.00,-1,-1,1196309097,0.00,2,1196309097,1196309097,100.00,-1,-1,1196309097,0.00,2,1196309097,1196309097,100.00,-1,-1,1196309097,0.00,2,1196309097,1196309097,100.00,-1,-1,1196309097,0.00,2,1196309097,1196309100,100.00,-1,-1,1196309100,0.00,2,1196309100,1196309100,100.00,-1,-1,1196309100,0.00,2,1196309100,1196309106,100.00,-1,-1,1196309106,0.00,2,1196309106,1096678514,0.00,0.00,0.00,2243701,136.94,136.94,44,109188,6.66,6.66,
