,,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,
Date,Time,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-01-16,00:37:17.435,1202673204,100.00,-1,-1,1202673204,0.00,2,1202673204,1202673204,100.00,-1,-1,1202673204,0.00,2,1202673204,1202673201,100.00,-1,-1,1202673201,0.00,2,1202673201,1202673201,100.00,-1,-1,1202673201,0.00,2,1202673201,1202673201,100.00,-1,-1,1202673201,0.00,2,1202673201,1202673210,100.00,-1,-1,1202673210,0.00,2,1202673210,1202673213,100.00,-1,-1,1202673213,0.00,2,1202673213,1202673216,100.00,-1,-1,1202673216,0.00,2,1202673216,1102506433,0.00,0.00,0.00,2005890,122.43,122.43,57,109855,6.71,6.71,
2026-01-16,00:37:18.431,1197298137,100.00,-1,-1,1197298137,0.00,2,1197298137,1197298137,100.00,-1,-1,1197298137,0.00,2,1197298137,1197298140,100.00,-1,-1,1197298140,0.00,2,1197298140,1197298137,100.00,-1,-1,1197298137,0.00,2,1197298137,1197298137,100.00,-1,-1,1197298137,0.00,2,1197298137,1197298143,100.00,-1,-1,1197298143,0.00,2,1197298143,1197298143,100.00,-1,-1,1197298143,0.00,2,1197298143,1197298146,100.00,-1,-1,1197298146,0.00,2,1197298146,1097583649,0.00,0.00,0.00,1998908,122.00,121.88,56,111270,6.79,6.78,
2026-01-16,00:37:19.436,1197987753,100.00,-1,-1,1197987753,0.00,2,1197987753,1197987753,100.00,-1,-1,1197987753,0.00,2,1197987753,1197987753,100.00,-1,-1,1197987753,0.00,2,1197987753,1197987753,100.00,-1,-1,1197987753,0.00,2,1197987753,1197987759,100.00,-1,-1,1197987759,0.00,2,1197987759,1197987759,100.00,-1,-1,1197987759,0.00,2,1197987759,1197987765,100.00,-1,-1,1197987765,0.00,2,1197987765,1197987759,100.00,-1,-1,1197987759,0.00,2,1197987759,1098228348,0.00,0.00,0.00,2000874,122.12,122.12,55,111284,6.79,6.79,
2026-01-16,00:37:20.436,1197425370,100.00,-1,-1,1197425370,0.00,2,1197425370,1197425367,100.00,-1,-1,1197425367,0.00,2,1197425367,1197425364,100.00,-1,-1,1197425364,0.00,2,1197425364,1197425367,100.00,-1,-1,1197425367,0.00,2,1197425367,1197425367,100.00,-1,-1,1197425367,0.00,2,1197425367,1197425373,100.00,-1,-1,1197425373,0.00,2,1197425373,1197425376,100.00,-1,-1,1197425376,0.00,2,1197425376,1197425376,100.00,-1,-1,1197425376,0.00,2,1197425376,1097704674,0.00,0.00,0.00,1999281,122.03,122.03,55,110247,6.73,6.73,
2026-01-16,00:37:21.432,1197189858,100.00,-1,-1,1197189858,0.00,2,1197189858,1197189858,100.00,-1,-1,1197189858,0.00,2,1197189858,1197189861,100.00,-1,-1,1197189861,0.00,2,1197189861,1197189861,100.00,-1,-1,1197189861,0.00,2,1197189861,1197189861,100.00,-1,-1,1197189861,0.00,2,1197189861,1197189864,100.00,-1,-1,1197189864,0.00,2,1197189864,1197189861,100.00,-1,-1,1197189861,0.00,2,1197189861,1197189861,100.00,-1,-1,1197189861,0.00,2,1197189861,1097494046,0.00,0.00,0.00,1998604,121.99,121.99,55,108578,6.63,6.63,
2026-01-16,00:37:22.432,1196786553,100.00,-1,-1,1196786553,0.00,2,1196786553,1196786552,100.00,-1,-1,1196786552,0.00,2,1196786552,1196786556,100.00,-1,-1,1196786556,0.00,2,1196786556,1196786550,100.00,-1,-1,1196786550,0.00,2,1196786550,1196786544,100.00,-1,-1,1196786544,0.00,2,1196786544,1196786544,100.00,-1,-1,1196786544,0.00,2,1196786544,1196786541,100.00,-1,-1,1196786541,0.00,2,1196786541,1196786538,100.00,-1,-1,1196786538,0.00,2,1196786538,1097121545,0.00,0.00,0.00,1998060,121.95,121.95,54,111456,6.80,6.80,
2026-01-16,00:37:23.435,1196778783,100.00,-1,-1,1196778783,0.00,2,1196778783,1196778783,100.00,-1,-1,1196778783,0.00,2,1196778783,1196778786,100.00,-1,-1,1196778786,0.00,2,1196778786,1196778789,100.00,-1,-1,1196778789,0.00,2,1196778789,1196778789,100.00,-1,-1,1196778789,0.00,2,1196778789,1196778786,100.00,-1,-1,1196778786,0.00,2,1196778786,1196778786,100.00,-1,-1,1196778786,0.00,2,1196778786,1196778786,100.00,-1,-1,1196778786,0.00,2,1196778786,1097104775,0.00,0.00,0.00,2000656,122.11,122.11,54,111125,6.78,6.78,
2026-01-16,00:37:24.432,1197989988,100.00,-1,-1,1197989988,0.00,2,1197989988,1197989991,100.00,-1,-1,1197989991,0.00,2,1197989991,1197989991,100.00,-1,-1,1197989991,0.00,2,1197989991,1197989994,100.00,-1,-1,1197989994,0.00,2,1197989994,1197989994,100.00,-1,-1,1197989994,0.00,2,1197989994,1197989994,100.00,-1,-1,1197989994,0.00,2,1197989994,1197989994,100.00,-1,-1,1197989994,0.00,2,1197989994,1197989976,100.00,-1,-1,1197989976,0.00,2,1197989976,1098222851,0.00,0.00,0.00,2000247,122.09,122.09,54,110961,6.77,6.77,
2026-01-16,00:37:25.432,1196774271,100.00,-1,-1,1196774271,0.00,2,1196774271,1196774268,100.00,-1,-1,1196774268,0.00,2,1196774268,1196774268,100.00,-1,-1,1196774268,0.00,2,1196774268,1196774271,100.00,-1,-1,1196774271,0.00,2,1196774271,1196774271,100.00,-1,-1,1196774271,0.00,2,1196774271,1196774268,100.00,-1,-1,1196774268,0.00,2,1196774268,1196774268,100.00,-1,-1,1196774268,0.00,2,1196774268,1196774271,100.00,-1,-1,1196774271,0.00,2,1196774271,1097113930,0.00,0.00,0.00,2001216,122.14,122.14,54,110492,6.74,6.74,
2026-01-16,00:37:26.433,1196769798,100.00,-1,-1,1196769798,0.00,2,1196769798,1196769795,100.00,-1,-1,1196769795,0.00,2,1196769795,1196769801,100.00,-1,-1,1196769801,0.00,2,1196769801,1196769804,100.00,-1,-1,1196769804,0.00,2,1196769804,1196769810,100.00,-1,-1,1196769810,0.00,2,1196769810,1196769813,100.00,-1,-1,1196769813,0.00,2,1196769813,1196769819,100.00,-1,-1,1196769819,0.00,2,1196769819,1196769819,100.00,-1,-1,1196769819,0.00,2,1196769819,1097097612,0.00,0.00,0.00,2007640,122.54,122.54,54,111540,6.81,6.81,
2026-01-16,00:37:27.436,1198012264,100.00,-1,-1,1198012264,0.00,2,1198012264,1198012263,100.00,-1,-1,1198012263,0.00,2,1198012263,1198012263,100.00,-1,-1,1198012263,0.00,2,1198012263,1198012266,100.00,-1,-1,1198012266,0.00,2,1198012266,1198012269,100.00,-1,-1,1198012269,0.00,2,1198012269,1198012263,100.00,-1,-1,1198012263,0.00,2,1198012263,1198012266,100.00,-1,-1,1198012266,0.00,2,1198012266,1198012260,100.00,-1,-1,1198012260,0.00,2,1198012260,1098246297,0.00,0.00,0.00,2007439,122.52,122.52,54,111207,6.79,6.79,
2026-01-16,00:37:28.432,1197191139,100.00,-1,-1,1197191139,0.00,2,1197191139,1197191133,100.00,-1,-1,1197191133,0.00,2,1197191133,1197191133,100.00,-1,-1,1197191133,0.00,2,1197191133,1197191133,100.00,-1,-1,1197191133,0.00,2,1197191133,1197191130,100.00,-1,-1,1197191130,0.00,2,1197191130,1197191127,100.00,-1,-1,1197191127,0.00,2,1197191127,1197191124,100.00,-1,-1,1197191124,0.00,2,1197191124,1197191124,100.00,-1,-1,1197191124,0.00,2,1197191124,1097487287,0.00,0.00,0.00,2001784,122.18,122.18,53,110854,6.77,6.77,
