,,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,
Date,Time,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-01-15,05:38:26.808,669165934,0.01,45188,669165934,669165934,0.01,44894,669165934,669166748,0.01,43606,669166748,669166748,0.01,43323,669166748,669167134,0.01,42588,669167134,669167134,0.01,42376,669167134,669167509,0.01,41449,669167509,669167509,0.01,41244,669167509,803007581,99.98,99.98,0.00,4110070,62.71,62.71,40,703064,10.73,10.73,669121582,0.01,42548,669121582,669121582,0.01,42537,669121582,669121888,0.01,42169,669121888,669121888,0.01,42118,669121888,669121952,0.01,41995,669121952,669121952,0.01,41974,669121952,669121979,0.01,41796,669121979,669121979,0.01,41845,669121979,802940012,100.00,100.00,0.00,3351884,51.15,51.15,45,725184,11.07,11.07,
2026-01-15,05:38:27.808,666746524,0.01,41543,666746524,666746524,0.01,41552,666746524,666746943,0.01,41098,666746943,666746943,0.01,41085,666746943,666747037,0.01,40858,666747037,666747037,0.01,40836,666747037,666747131,0.01,40731,666747131,666747131,0.01,40715,666747131,800140364,99.99,99.99,0.00,4099611,62.56,62.49,41,702749,10.72,10.71,666740050,0.01,41913,666740050,666740050,0.01,41871,666740050,666740460,0.01,41428,666740460,666740460,0.01,41419,666740460,666740495,0.01,41384,666740495,666740495,0.01,41387,666740495,666740520,0.01,41359,666740520,666740520,0.01,41316,666740520,800136353,100.00,100.00,0.00,3346846,51.07,51.02,45,708140,10.81,10.79,
2026-01-15,05:38:28.812,667254130,0.01,40828,667254130,667254130,0.01,40873,667254130,667254523,0.01,40459,667254523,667254523,0.01,40454,667254523,667254579,0.01,40387,667254579,667254579,0.01,40360,667254579,667254644,0.01,40308,667254644,667254644,0.01,40298,667254644,800751987,99.99,99.99,0.00,4099405,62.55,62.55,39,702178,10.71,10.71,667251478,0.01,41556,667251478,667251478,0.01,41564,667251478,667251652,0.01,41388,667251652,667251652,0.01,41387,667251652,667251727,0.01,41298,667251727,667251727,0.01,41279,667251727,667251784,0.01,41199,667251784,667251784,0.01,41204,667251784,803454773,99.99,99.99,0.00,3357078,51.22,51.22,44,710583,10.84,10.84,
2026-01-15,05:38:29.811,666170921,0.01,40802,666170921,666170921,0.01,40786,666170921,666171235,0.01,40434,666171235,666171235,0.01,40421,666171235,666171301,0.01,40385,666171301,666171301,0.01,40414,666171301,666171460,0.01,40228,666171460,666171460,0.01,40237,666171460,799455037,99.99,99.99,0.00,4096505,62.51,62.51,41,698189,10.65,10.65,666170812,0.01,41655,666170812,666170812,0.01,41685,666170812,666171079,0.01,41501,666171079,666171079,0.01,41530,666171079,666171133,0.01,41533,666171133,666171133,0.01,41567,666171133,666171192,0.01,41531,666171192,666171192,0.01,41571,666171192,796767388,100.00,100.00,0.00,3330828,50.82,50.82,44,706900,10.79,10.79,
2026-01-15,05:38:30.814,667056285,0.01,40667,667056285,667056285,0.01,40643,667056285,667056660,0.01,40302,667056660,667056660,0.01,40326,667056660,667056755,0.01,40282,667056755,667056755,0.01,40298,667056755,667056888,0.01,40205,667056888,667056888,0.01,40220,667056888,800515969,99.99,99.99,0.00,4107397,62.67,62.67,39,703037,10.73,10.73,667054307,0.01,41908,667054307,667054307,0.01,41898,667054307,667054614,0.01,41567,667054614,667054614,0.01,41526,667054614,667054649,0.01,41432,667054649,667054649,0.01,41444,667054649,667054706,0.01,41403,667054706,667054706,0.01,41358,667054706,803224378,100.00,100.00,0.00,3359928,51.27,51.27,45,710239,10.84,10.84,
2026-01-15,05:38:31.809,666625180,0.01,40759,666625180,666625180,0.01,40802,666625180,666625572,0.01,40363,666625572,666625572,0.01,40361,666625572,666625623,0.01,40325,666625623,666625623,0.01,40307,666625623,666625673,0.01,40210,666625673,666625673,0.01,40225,666625673,799998678,99.99,99.99,0.00,4100597,62.57,62.57,40,702402,10.72,10.72,666623774,0.01,41681,666623774,666623774,0.01,41676,666623774,666623961,0.01,41500,666623961,666623961,0.01,41541,666623961,666624063,0.01,41455,666624063,666624063,0.01,41422,666624063,666624101,0.01,41360,666624101,666624101,0.01,41375,666624101,797275175,100.00,100.00,0.00,3331486,50.83,50.83,44,703038,10.73,10.73,
2026-01-15,05:38:32.809,666583630,0.01,40625,666583630,666583630,0.01,40580,666583630,666583970,0.01,40270,666583970,666583970,0.01,40258,666583970,666584072,0.01,40084,666584072,666584072,0.01,40070,666584072,666584121,0.01,40056,666584121,666584121,0.01,40056,666584121,799950463,100.00,100.00,0.00,4105644,62.65,62.65,40,694729,10.60,10.60,666583830,0.01,41653,666583830,666583830,0.01,41640,666583830,666583994,0.01,41435,666583994,666583994,0.01,41432,666583994,666584055,0.01,41371,666584055,666584055,0.01,41385,666584055,666584168,0.01,41301,666584168,666584168,0.01,41300,666584168,799950545,100.00,100.00,0.00,3346485,51.06,51.06,45,703241,10.73,10.73,
2026-01-15,05:38:33.811,666584616,0.01,40766,666584616,666584616,0.01,40797,666584616,666584909,0.01,40498,666584909,666584909,0.01,40498,666584909,666584976,0.01,40494,666584976,666584976,0.01,40515,666584976,666585124,0.01,40382,666585124,666585124,0.01,40340,666585124,799948964,99.99,99.99,0.00,4111878,62.74,62.74,40,695687,10.62,10.62,666582636,0.01,41650,666582636,666582636,0.01,41660,666582636,666582869,0.01,41404,666582869,666582869,0.01,41562,666582869,666582912,0.01,41787,666582912,666582912,0.01,41775,666582912,666583040,0.01,41616,666583040,666583040,0.01,41603,666583040,801966708,100.00,100.00,0.00,3355097,51.19,51.19,44,702688,10.72,10.72,
2026-01-15,05:38:34.814,666266131,0.01,40794,666266131,666266131,0.01,40839,666266131,666266433,0.01,40569,666266433,666266433,0.01,40619,666266433,666266511,0.01,40543,666266511,666266511,0.01,40569,666266511,666266670,0.01,40467,666266670,666266670,0.01,40534,666266670,799569567,100.00,100.00,0.00,4108027,62.68,62.68,40,699618,10.68,10.68,666267158,0.01,42100,666267158,666267158,0.01,42087,666267158,666267429,0.01,41797,666267429,666267429,0.01,41599,666267429,666267503,0.01,41271,666267503,666267503,0.01,41289,666267503,666267557,0.01,41207,666267557,666267557,0.01,41232,666267557,799995886,100.00,100.00,0.00,3346340,51.06,51.06,44,705327,10.76,10.76,
