Socket0_Watts,Socket1_Watts
62.71,51.15
62.49,51.02
62.55,51.22
62.51,50.82
62.67,51.27
62.57,50.83
62.65,51.06
62.74,51.19
62.68,51.06
62.7,50.94
62.82,51.18
62.83,51.19
62.87,51.19
62.87,51.34
62.84,51.28
63.0,50.98
63.14,51.16
63.13,51.22
63.21,51.24
63.27,51.26
63.15,51.27
63.19,51.22
63.23,51.36
63.04,51.07
63.3,51.3
63.14,51.24
63.15,51.22
63.15,51.21
63.31,51.24
63.38,51.28
63.34,51.42
63.29,51.3
63.37,51.27
63.36,51.33
63.37,51.32
63.34,51.35
63.21,51.38
63.25,51.41
63.28,51.39
63.36,51.4
63.34,51.37
63.34,51.29
63.42,51.3
63.4,51.54
63.36,51.29
63.5,51.5
63.48,51.43
63.41,51.42
63.42,51.3
63.42,51.26
63.36,51.41
63.34,51.44
63.13,51.19
63.33,51.45
