,,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,
Date,Time,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-01-15,05:37:24.616,669141267,0.01,45402,669141267,669141267,0.01,45225,669141267,669141976,0.01,44297,669141976,669141976,0.01,44153,669141976,669142361,0.01,43621,669142361,669142361,0.01,43486,669142361,669142769,0.01,42866,669142769,669142769,0.01,42761,669142769,802928354,99.99,99.99,40.81,4179357,63.77,63.77,51,704160,10.74,10.74,669048459,0.01,43324,669048459,669048459,0.01,43243,669048459,669048751,0.01,42850,669048751,669048751,0.01,42779,669048751,669048755,0.01,42589,669048755,669048755,0.01,42462,669048755,669048832,0.01,42271,669048832,669048832,0.01,42230,669048832,800697450,100.00,100.00,100.00,3469511,52.94,52.94,54,705584,10.77,10.77,
2026-01-15,05:37:25.620,666766898,0.01,42431,666766898,666766898,0.01,42359,666766898,666767304,0.01,41533,666767304,666767304,0.01,41378,666767304,666767322,0.01,41069,666767322,666767322,0.01,41001,666767322,666767436,0.01,40625,666767436,666767436,0.01,40586,666767436,800163060,99.95,99.95,0.00,4163741,63.53,63.53,52,699916,10.68,10.68,666769317,0.01,42304,666769317,666769317,0.01,42327,666769317,666769592,0.01,42044,666769592,666769592,0.01,42039,666769592,666769679,0.01,41981,666769679,666769679,0.01,41958,666769679,666769828,0.01,41817,666769828,666769828,0.01,41815,666769828,803280408,100.00,100.00,53.97,3478782,53.08,53.08,54,706423,10.78,10.78,
2026-01-15,05:37:26.616,666522739,0.01,41295,666522739,666522739,0.01,41370,666522739,666523173,0.01,41118,666523173,666523173,0.01,41245,666523173,666523294,0.01,41246,666523294,666523294,0.01,41292,666523294,666523416,0.01,41255,666523416,666523416,0.01,41329,666523416,799879819,99.83,99.83,0.00,4157784,63.44,63.44,51,702042,10.71,10.71,666513650,0.01,42083,666513650,666513650,0.01,42031,666513650,666513966,0.01,41673,666513966,666513966,0.01,41659,666513966,666514018,0.01,41563,666514018,666514018,0.01,41557,666514018,666514082,0.01,41442,666514082,666514082,0.01,41399,666514082,796771043,100.00,100.00,0.00,3452959,52.69,52.69,53,699100,10.67,10.67,
2026-01-15,05:37:27.616,666602382,0.01,42031,666602382,666602382,0.01,41997,666602382,666602700,0.01,41521,666602700,666602700,0.01,41387,666602700,666602766,0.01,41194,666602766,666602766,0.01,41159,666602766,666602786,0.01,41090,666602786,666602786,0.01,41035,666602786,799969527,99.87,99.87,0.00,4145165,63.25,63.25,51,702716,10.72,10.72,666599063,0.01,41803,666599063,666599063,0.01,41779,666599063,666599250,0.01,41624,666599250,666599250,0.01,41615,666599250,666599278,0.01,41579,666599278,666599278,0.01,41587,666599278,666599405,0.01,41517,666599405,666599405,0.01,41560,666599405,799969517,100.00,100.00,0.00,3468034,52.92,52.92,53,701908,10.71,10.71,
2026-01-15,05:37:28.618,666593270,0.01,41458,666593270,666593270,0.01,41470,666593270,666593632,0.01,41111,666593632,666593632,0.01,41110,666593632,666593751,0.01,41017,666593751,666593751,0.01,41007,666593751,666593813,0.01,40917,666593813,666593813,0.01,40898,666593813,799962936,99.96,99.96,0.00,4145720,63.26,63.26,50,698912,10.66,10.66,666594028,0.01,41808,666594028,666594028,0.01,41860,666594028,666594238,0.01,41655,666594238,666594238,0.01,41657,666594238,666594306,0.01,41595,666594306,666594306,0.01,41589,666594306,666594347,0.01,41504,666594347,666594347,0.01,41493,666594347,801647761,100.00,100.00,0.00,3477470,53.06,53.06,53,705187,10.76,10.76,
2026-01-15,05:37:29.616,666658577,0.01,41363,666658577,666658577,0.01,41334,666658577,666659002,0.01,40900,666659002,666659002,0.01,40884,666659002,666659099,0.01,40790,666659099,666659099,0.01,40800,666659099,666659227,0.01,40662,666659227,666659227,0.01,40666,666659227,800039424,99.97,99.97,0.00,4146562,63.27,63.27,50,698128,10.65,10.65,666657909,0.01,41793,666657909,666657909,0.01,41762,666657909,666658151,0.01,41526,666658151,666658151,0.01,41550,666658151,666658170,0.01,41562,666658170,666658170,0.01,41577,666658170,666658254,0.01,41490,666658254,666658254,0.01,41514,666658254,798353647,99.99,99.99,0.00,3463827,52.85,52.85,53,702430,10.72,10.72,
2026-01-15,05:37:30.616,666593683,0.01,41475,666593683,666593683,0.01,41492,666593683,666594088,0.01,41044,666594088,666594088,0.01,41032,666594088,666594246,0.01,40865,666594246,666594246,0.01,40831,666594246,666594348,0.01,40697,666594348,666594348,0.01,40673,666594348,799961351,99.97,99.97,0.00,4151117,63.34,63.34,50,699193,10.67,10.67,666592458,0.01,42022,666592458,666592458,0.01,42084,666592458,666592683,0.01,41923,666592683,666592683,0.01,41968,666592683,666592735,0.01,41960,666592735,666592735,0.01,42006,666592735,666592865,0.01,41959,666592865,666592865,0.01,41989,666592865,799950067,99.99,99.99,0.00,3472068,52.98,52.98,52,702950,10.73,10.73,
2026-01-15,05:37:31.616,666966133,0.01,41409,666966133,666966133,0.01,41408,666966133,666966567,0.01,41082,666966567,666966567,0.01,41112,666966567,666966665,0.01,41021,666966665,666966665,0.01,41042,666966665,666966917,0.01,40826,666966917,666966917,0.01,40865,666966917,800409225,100.00,100.00,0.00,4154997,63.40,63.34,50,700303,10.69,10.68,666965307,0.01,42348,666965307,666965307,0.01,42302,666965307,666965524,0.01,42026,666965524,666965524,0.01,41969,666965524,666965602,0.01,41837,666965602,666965602,0.01,41785,666965602,666965649,0.01,41690,666965649,666965649,0.01,41621,666965649,800407689,99.94,99.94,0.00,3476623,53.05,53.00,53,704192,10.75,10.73,
2026-01-15,05:37:32.617,666575153,0.01,41441,666575153,666575153,0.01,41452,666575153,666575588,0.01,40951,666575588,666575588,0.01,40961,666575588,666575681,0.01,40877,666575681,666575681,0.01,40869,666575681,666575729,0.01,40865,666575729,666575729,0.01,40850,666575729,799941779,100.00,100.00,0.00,4154789,63.40,63.46,50,698724,10.66,10.67,666576089,0.01,41868,666576089,666576089,0.01,41871,666576089,666576244,0.01,41678,666576244,666576244,0.01,41690,666576244,666576347,0.01,41584,666576347,666576347,0.01,41607,666576347,666576374,0.01,41591,666576374,666576374,0.01,41633,666576374,799943444,99.94,99.94,0.00,3473502,53.00,53.05,51,698812,10.66,10.67,
