Socket0_Watts,Socket1_Watts
63.77,52.94
63.53,53.08
63.44,52.69
63.25,52.92
63.26,53.06
63.27,52.85
63.34,52.98
63.34,53.0
63.46,53.05
63.37,53.02
63.52,53.0
63.46,52.8
63.56,52.78
63.54,52.84
63.6,52.75
63.58,52.71
63.7,52.76
63.61,52.66
63.58,52.74
63.78,52.69
63.92,52.71
63.64,52.73
63.78,52.88
63.74,52.54
63.62,52.73
63.59,52.35
63.6,52.55
63.61,52.64
63.61,52.17
63.6,52.36
63.64,52.41
63.79,52.4
63.68,52.36
63.7,52.49
63.71,52.28
63.78,52.6
63.93,52.19
63.88,52.39
63.94,52.44
64.1,52.43
63.98,52.46
64.04,52.47
64.04,52.71
64.04,52.32
64.09,52.57
64.1,52.59
64.11,52.39
64.18,52.4
64.22,52.52
64.36,52.56
64.38,52.48
64.4,52.41
64.42,52.23
64.38,52.19
