Core Power License 0: Core cycles where the core was running with power-delivery for baseline license level 0.  This includes non-AVX codes, SSE, AVX 128-bit, and low-current AVX 256-bit codes.
Core Power License 1: Core cycles where the core was running with power-delivery for license level 1.  This includes high current AVX 256-bit instructions as well as low current AVX 512-bit instructions.
Core Power License 2: Core cycles where the core was running with power-delivery for license level 2 (introduced in Skylake Server michroarchtecture). This includes high current AVX 512-bit instructions.
,,S0,S0,S0,S0,S0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,
Date,Time,Uncore Freq(Ghz),Core Freq(Ghz),Core Power License 0(%),Core Power License 1(%),Core Power License 2(%),DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-01-15,05:33:18.742,2.19,2.40,100.00,0.00,0.00,1336392612,100.00,-1,-1,1336392612,100.00,-1,-1,1336392612,100.00,-1,-1,1336392612,100.00,-1,-1,1336392616,100.00,-1,-1,1336392616,100.00,-1,-1,1336392618,100.00,-1,-1,1336392618,100.00,-1,-1,1336392624,100.00,-1,-1,1336392624,100.00,-1,-1,1336392628,100.00,-1,-1,1336392628,100.00,-1,-1,1336392642,100.00,-1,-1,1336392642,100.00,-1,-1,1336392636,100.00,-1,-1,1336392636,100.00,-1,-1,1102617271,0.00,0.00,0.00,2026804,123.71,123.71,55,735596,11.25,11.25,
2026-01-15,05:33:19.739,2.19,2.40,100.00,0.00,0.00,1333469740,100.00,-1,-1,1333469740,100.00,-1,-1,1333469744,100.00,-1,-1,1333469744,100.00,-1,-1,1333469746,100.00,-1,-1,1333469746,100.00,-1,-1,1333469748,100.00,-1,-1,1333469748,100.00,-1,-1,1333469754,100.00,-1,-1,1333469754,100.00,-1,-1,1333469750,100.00,-1,-1,1333469750,100.00,-1,-1,1333469750,100.00,-1,-1,1333469750,100.00,-1,-1,1333469758,100.00,-1,-1,1333469758,100.00,-1,-1,1100210031,0.00,0.00,0.00,2024776,123.58,123.58,54,733208,11.22,11.22,
2026-01-15,05:33:20.741,2.19,2.40,100.00,0.00,0.00,1333046550,100.00,-1,-1,1333046550,100.00,-1,-1,1333046550,100.00,-1,-1,1333046550,100.00,-1,-1,1333046550,100.00,-1,-1,1333046550,100.00,-1,-1,1333046550,100.00,-1,-1,1333046550,100.00,-1,-1,1333046550,100.00,-1,-1,1333046550,100.00,-1,-1,1333046554,100.00,-1,-1,1333046554,100.00,-1,-1,1333046552,100.00,-1,-1,1333046552,100.00,-1,-1,1333046550,100.00,-1,-1,1333046550,100.00,-1,-1,1099848800,0.00,0.00,0.00,2022599,123.45,123.45,54,734798,11.24,11.24,
2026-01-15,05:33:21.738,2.19,2.40,100.00,0.00,0.00,1333206634,100.00,-1,-1,1333206634,100.00,-1,-1,1333206634,100.00,-1,-1,1333206634,100.00,-1,-1,1333206636,100.00,-1,-1,1333206636,100.00,-1,-1,1333206636,100.00,-1,-1,1333206636,100.00,-1,-1,1333206636,100.00,-1,-1,1333206636,100.00,-1,-1,1333206632,100.00,-1,-1,1333206632,100.00,-1,-1,1333206636,100.00,-1,-1,1333206636,100.00,-1,-1,1333206638,100.00,-1,-1,1333206638,100.00,-1,-1,1099998991,0.00,0.00,0.00,2020382,123.31,123.31,55,732797,11.21,11.21,
2026-01-15,05:33:22.738,2.19,2.40,100.00,0.00,0.00,1332761960,100.00,-1,-1,1332761960,100.00,-1,-1,1332761960,100.00,-1,-1,1332761960,100.00,-1,-1,1332761960,100.00,-1,-1,1332761960,100.00,-1,-1,1332761962,100.00,-1,-1,1332761962,100.00,-1,-1,1332761956,100.00,-1,-1,1332761956,100.00,-1,-1,1332761958,100.00,-1,-1,1332761958,100.00,-1,-1,1332761970,100.00,-1,-1,1332761970,100.00,-1,-1,1332761970,100.00,-1,-1,1332761970,100.00,-1,-1,1099618555,0.00,0.00,0.00,2021793,123.40,123.40,54,732331,11.20,11.20,
2026-01-15,05:33:23.741,2.19,2.40,100.00,0.00,0.00,1334057730,100.00,-1,-1,1334057730,100.00,-1,-1,1334057726,100.00,-1,-1,1334057726,100.00,-1,-1,1334057724,100.00,-1,-1,1334057724,100.00,-1,-1,1334057728,100.00,-1,-1,1334057728,100.00,-1,-1,1334057730,100.00,-1,-1,1334057730,100.00,-1,-1,1334057730,100.00,-1,-1,1334057730,100.00,-1,-1,1334057732,100.00,-1,-1,1334057732,100.00,-1,-1,1334057730,100.00,-1,-1,1334057730,100.00,-1,-1,1100682152,0.00,0.00,0.00,2024177,123.55,123.55,54,735166,11.25,11.25,
2026-01-15,05:33:24.741,2.19,2.40,100.00,0.00,0.00,1332825562,100.00,-1,-1,1332825562,100.00,-1,-1,1332825562,100.00,-1,-1,1332825562,100.00,-1,-1,1332825560,100.00,-1,-1,1332825560,100.00,-1,-1,1332825562,100.00,-1,-1,1332825562,100.00,-1,-1,1332825564,100.00,-1,-1,1332825564,100.00,-1,-1,1332825566,100.00,-1,-1,1332825566,100.00,-1,-1,1332825564,100.00,-1,-1,1332825564,100.00,-1,-1,1332825568,100.00,-1,-1,1332825568,100.00,-1,-1,1099675398,0.00,0.00,0.00,2024084,123.54,123.54,54,735662,11.26,11.26,
2026-01-15,05:33:25.742,2.19,2.40,100.00,0.00,0.00,1333221928,100.00,-1,-1,1333221928,100.00,-1,-1,1333221930,100.00,-1,-1,1333221930,100.00,-1,-1,1333221928,100.00,-1,-1,1333221928,100.00,-1,-1,1333221934,100.00,-1,-1,1333221934,100.00,-1,-1,1333221938,100.00,-1,-1,1333221938,100.00,-1,-1,1333221934,100.00,-1,-1,1333221934,100.00,-1,-1,1333221932,100.00,-1,-1,1333221932,100.00,-1,-1,1333221930,100.00,-1,-1,1333221930,100.00,-1,-1,1100002981,0.00,0.00,0.00,2020897,123.35,123.35,53,734800,11.24,11.24,
2026-01-15,05:33:26.738,2.19,2.40,100.00,0.00,0.00,1333225644,100.00,-1,-1,1333225644,100.00,-1,-1,1333225650,100.00,-1,-1,1333225650,100.00,-1,-1,1333225650,100.00,-1,-1,1333225650,100.00,-1,-1,1333225654,100.00,-1,-1,1333225654,100.00,-1,-1,1333225658,100.00,-1,-1,1333225658,100.00,-1,-1,1333225656,100.00,-1,-1,1333225656,100.00,-1,-1,1333225656,100.00,-1,-1,1333225656,100.00,-1,-1,1333225658,100.00,-1,-1,1333225658,100.00,-1,-1,1100002469,0.00,0.00,0.00,2024955,123.59,123.59,53,736536,11.27,11.27,
