Core Power License 0: Core cycles where the core was running with power-delivery for baseline license level 0.  This includes non-AVX codes, SSE, AVX 128-bit, and low-current AVX 256-bit codes.
Core Power License 1: Core cycles where the core was running with power-delivery for license level 1.  This includes high current AVX 256-bit instructions as well as low current AVX 512-bit instructions.
Core Power License 2: Core cycles where the core was running with power-delivery for license level 2 (introduced in Skylake Server michroarchtecture). This includes high current AVX 512-bit instructions.
,,S0,S0,S0,S0,S0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,
Date,Time,Uncore Freq(Ghz),Core Freq(Ghz),Core Power License 0(%),Core Power License 1(%),Core Power License 2(%),DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-01-15,05:32:16.803,2.20,2.40,99.99,0.01,0.00,1339185982,100.00,-1,-1,1339185982,100.00,-1,-1,1339185980,100.00,-1,-1,1339185980,100.00,-1,-1,1339185976,100.00,-1,-1,1339185976,100.00,-1,-1,1339185980,100.00,-1,-1,1339185980,100.00,-1,-1,1339185976,100.00,-1,-1,1339185976,100.00,-1,-1,1339185978,100.00,-1,-1,1339185978,100.00,-1,-1,1339185976,100.00,-1,-1,1339185976,100.00,-1,-1,1339185972,100.00,-1,-1,1339185972,100.00,-1,-1,1104914058,0.00,0.00,0.00,1902839,116.14,116.14,63,738120,11.29,11.29,
2026-01-15,05:32:17.803,2.20,2.40,100.00,0.00,0.00,1332840522,100.00,-1,-1,1332840522,100.00,-1,-1,1332840520,100.00,-1,-1,1332840520,100.00,-1,-1,1332840516,100.00,-1,-1,1332840516,100.00,-1,-1,1332840522,100.00,-1,-1,1332840522,100.00,-1,-1,1332840520,100.00,-1,-1,1332840520,100.00,-1,-1,1332840524,100.00,-1,-1,1332840524,100.00,-1,-1,1332840524,100.00,-1,-1,1332840524,100.00,-1,-1,1332840522,100.00,-1,-1,1332840522,100.00,-1,-1,1099686035,0.00,0.00,0.00,1895837,115.71,115.71,63,738934,11.31,11.31,
2026-01-15,05:32:18.805,2.20,2.40,100.00,0.00,0.00,1332644980,100.00,-1,-1,1332644980,100.00,-1,-1,1332644984,100.00,-1,-1,1332644984,100.00,-1,-1,1332644982,100.00,-1,-1,1332644982,100.00,-1,-1,1332644982,100.00,-1,-1,1332644982,100.00,-1,-1,1332644980,100.00,-1,-1,1332644980,100.00,-1,-1,1332644976,100.00,-1,-1,1332644976,100.00,-1,-1,1332644976,100.00,-1,-1,1332644976,100.00,-1,-1,1332644962,100.00,-1,-1,1332644962,100.00,-1,-1,1099512802,0.00,0.00,0.00,1894788,115.65,115.65,63,736424,11.27,11.27,
2026-01-15,05:32:19.810,2.20,2.40,100.00,0.00,0.00,1339335170,100.00,-1,-1,1339335170,100.00,-1,-1,1339335170,100.00,-1,-1,1339335170,100.00,-1,-1,1339335170,100.00,-1,-1,1339335170,100.00,-1,-1,1339335174,100.00,-1,-1,1339335174,100.00,-1,-1,1339335172,100.00,-1,-1,1339335172,100.00,-1,-1,1339335174,100.00,-1,-1,1339335174,100.00,-1,-1,1339335172,100.00,-1,-1,1339335172,100.00,-1,-1,1339335170,100.00,-1,-1,1339335170,100.00,-1,-1,1105046456,0.00,0.00,0.00,1903079,116.15,115.69,62,740607,11.33,11.29,
2026-01-15,05:32:20.807,2.20,2.40,100.00,0.00,0.00,1333439820,100.00,-1,-1,1333439820,100.00,-1,-1,1333439820,100.00,-1,-1,1333439820,100.00,-1,-1,1333439816,100.00,-1,-1,1333439816,100.00,-1,-1,1333439812,100.00,-1,-1,1333439812,100.00,-1,-1,1333439856,100.00,-1,-1,1333439856,100.00,-1,-1,1333439936,100.00,-1,-1,1333439936,100.00,-1,-1,1333439936,100.00,-1,-1,1333439936,100.00,-1,-1,1333440000,100.00,-1,-1,1333440000,100.00,-1,-1,1100174999,0.00,0.00,0.00,1896896,115.78,115.78,62,736031,11.26,11.26,
2026-01-15,05:32:21.809,2.20,2.40,100.00,0.00,0.00,1332689996,100.00,-1,-1,1332689996,100.00,-1,-1,1332689996,100.00,-1,-1,1332689996,100.00,-1,-1,1332690104,100.00,-1,-1,1332690104,100.00,-1,-1,1332690108,100.00,-1,-1,1332690108,100.00,-1,-1,1332690110,100.00,-1,-1,1332690110,100.00,-1,-1,1332690146,100.00,-1,-1,1332690146,100.00,-1,-1,1332690146,100.00,-1,-1,1332690146,100.00,-1,-1,1332690140,100.00,-1,-1,1332690140,100.00,-1,-1,1099560300,0.00,0.00,0.00,1894135,115.61,115.61,62,734109,11.23,11.23,
2026-01-15,05:32:22.807,2.20,2.40,100.00,0.00,0.00,1333745890,100.00,-1,-1,1333745890,100.00,-1,-1,1333745862,100.00,-1,-1,1333745862,100.00,-1,-1,1333745864,100.00,-1,-1,1333745864,100.00,-1,-1,1333745860,100.00,-1,-1,1333745860,100.00,-1,-1,1333745864,100.00,-1,-1,1333745864,100.00,-1,-1,1333745866,100.00,-1,-1,1333745866,100.00,-1,-1,1333745868,100.00,-1,-1,1333745868,100.00,-1,-1,1333745874,100.00,-1,-1,1333745874,100.00,-1,-1,1100420761,0.00,0.00,0.00,1895496,115.69,115.69,61,737107,11.28,11.28,
2026-01-15,05:32:23.807,2.20,2.40,100.00,0.00,0.00,1332649972,100.00,-1,-1,1332649972,100.00,-1,-1,1332649970,100.00,-1,-1,1332649970,100.00,-1,-1,1332649972,100.00,-1,-1,1332649972,100.00,-1,-1,1332649968,100.00,-1,-1,1332649968,100.00,-1,-1,1332649970,100.00,-1,-1,1332649970,100.00,-1,-1,1332649970,100.00,-1,-1,1332649970,100.00,-1,-1,1332649974,100.00,-1,-1,1332649974,100.00,-1,-1,1332649980,100.00,-1,-1,1332649980,100.00,-1,-1,1099522336,0.00,0.00,0.00,1895516,115.69,115.69,61,735435,11.25,11.25,
2026-01-15,05:32:24.809,2.20,2.40,100.00,0.00,0.00,1333971618,100.00,-1,-1,1333971618,100.00,-1,-1,1333971620,100.00,-1,-1,1333971620,100.00,-1,-1,1333971616,100.00,-1,-1,1333971616,100.00,-1,-1,1333971620,100.00,-1,-1,1333971620,100.00,-1,-1,1333971620,100.00,-1,-1,1333971620,100.00,-1,-1,1333971620,100.00,-1,-1,1333971620,100.00,-1,-1,1333971630,100.00,-1,-1,1333971630,100.00,-1,-1,1333971628,100.00,-1,-1,1333971628,100.00,-1,-1,1100614963,0.00,0.00,0.00,1898318,115.86,115.75,62,736402,11.27,11.26,
