,,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,
Date,Time,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-01-16,00:32:42.884,1067633318,80.60,6017639,7465967,1067633318,100.00,-1,-1,1067632603,80.83,6120544,7571862,1067632603,100.00,-1,-1,1067632628,81.22,6021991,7414115,1067632628,100.00,-1,-1,1067632693,81.03,6135505,7571863,1067632693,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,1000903682,0.00,0.00,0.00,877423,53.55,53.66,47,161261,2.47,2.47,
2026-01-16,00:32:43.884,1063846713,85.47,8191906,9584204,1063846713,100.00,-1,-1,1063846840,85.02,8004278,9414573,1063846840,100.00,-1,-1,1063846892,86.68,9221500,10638468,1063846892,100.00,-1,-1,1063853157,85.02,7934363,9332045,1063853157,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997357971,0.00,0.00,0.00,874970,53.40,53.51,47,151518,2.32,2.32,
2026-01-16,00:32:44.887,1064775835,90.00,13126819,14585970,1064775835,100.00,-1,-1,1064775691,89.29,12346884,13828255,1064775691,100.00,-1,-1,1064775550,89.87,13290285,14788549,1064775550,100.00,-1,-1,1064769167,89.02,11702563,13145298,1064769167,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998219171,0.00,0.00,0.00,874986,53.40,53.51,47,143462,2.19,2.20,
2026-01-16,00:32:45.885,1064933312,88.21,10675088,12101514,1064933312,100.00,-1,-1,1064933459,87.99,10648198,12101516,1064933459,100.00,-1,-1,1064933558,88.24,10558938,11965545,1064933558,100.00,-1,-1,1064933665,87.66,10146642,11575365,1064933665,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998377577,0.00,0.00,0.00,876581,53.50,53.61,47,148440,2.27,2.28,
2026-01-16,00:32:46.885,1063671508,90.65,16625164,18339163,1063671508,100.00,-1,-1,1063671459,90.32,15494745,17155991,1063671459,100.00,-1,-1,1063671507,90.79,16367250,18028330,1063671507,100.00,-1,-1,1063671474,89.46,13215787,14773214,1063671474,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997190476,0.00,0.00,0.00,875230,53.42,53.58,47,142412,2.18,2.19,
2026-01-16,00:32:47.888,1063678137,91.02,15367932,16883779,1063678137,100.00,-1,-1,1063678170,89.71,13439813,14981382,1063678170,100.00,-1,-1,1063678061,90.55,14817934,16364277,1063678061,100.00,-1,-1,1063678037,90.21,14993682,16619969,1063678037,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997197728,0.00,0.00,0.00,875226,53.42,53.53,46,144285,2.21,2.21,
2026-01-16,00:32:48.885,1065182412,91.97,16604224,18053939,1065182412,100.00,-1,-1,1065182283,92.16,17848283,19366950,1065182283,100.00,-1,-1,1065182362,92.19,17227412,18687409,1065182362,100.00,-1,-1,1065182379,91.44,15710459,17180360,1065182379,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998608835,0.00,0.00,0.00,877084,53.53,53.64,46,139623,2.14,2.14,
2026-01-16,00:32:49.885,1063703605,89.48,13220207,14773661,1063703605,100.00,-1,-1,1063703608,89.75,14465210,16116721,1063703608,100.00,-1,-1,1063703571,89.51,13410022,14981740,1063703571,100.00,-1,-1,1063703537,88.98,13145849,14773660,1063703537,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997221550,0.00,0.00,0.00,875062,53.41,53.57,46,143103,2.19,2.20,
2026-01-16,00:32:50.888,1063678298,93.49,21159153,22631453,1063678298,100.00,-1,-1,1063678209,92.93,18305810,19697744,1063678209,100.00,-1,-1,1063678228,92.77,19734729,21273564,1063678228,100.00,-1,-1,1063678241,92.66,18596940,20069400,1063678241,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997198874,0.00,0.00,0.00,874217,53.36,53.46,46,136711,2.09,2.10,
2026-01-16,00:32:51.885,1065141182,91.92,18473530,20097003,1065141182,100.00,-1,-1,1065141177,91.32,17369440,19020378,1065141177,100.00,-1,-1,1065141217,91.98,18841158,20483484,1065141217,100.00,-1,-1,1065141238,91.74,17448565,19020379,1065141238,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998569575,0.00,0.00,0.00,876636,53.51,53.61,46,139641,2.14,2.14,
2026-01-16,00:32:52.885,1063668283,93.39,21135392,22631240,1063668283,100.00,-1,-1,1063668281,92.49,18561908,20069212,1063668281,100.00,-1,-1,1063668179,92.49,17259460,18660845,1063668179,100.00,-1,-1,1063668088,93.30,19847666,21273361,1063668088,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997189771,0.00,0.00,0.00,875279,53.42,53.58,46,136803,2.09,2.10,
