,,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,
Date,Time,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-01-16,00:31:41.774,1067154198,80.46,5400105,6711661,1067154198,100.00,-1,-1,1067153743,80.57,5441720,6754137,1067153743,100.00,-1,-1,1067153684,81.50,5722119,7020747,1067153684,100.00,-1,-1,1067153622,80.71,5593008,6929568,1067153622,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,1000457824,0.00,0.00,0.00,835290,50.98,51.08,53,163983,2.51,2.51,
2026-01-16,00:31:42.778,1064988415,85.78,8869739,10339693,1064988415,100.00,-1,-1,1064988404,85.60,8441018,9861003,1064988404,100.00,-1,-1,1064988487,85.50,8353693,9770536,1064988487,100.00,-1,-1,1064988486,85.50,8203409,9594490,1064988486,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998428019,0.00,0.00,0.00,834303,50.92,51.02,53,153506,2.35,2.35,
2026-01-16,00:31:43.775,1064507352,88.59,10363548,11697882,1064507352,100.00,-1,-1,1064507377,88.88,10630453,11960757,1064507377,100.00,-1,-1,1064507360,88.05,9971362,11324546,1064507360,100.00,-1,-1,1064507416,88.32,10331245,11697883,1064507416,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997940607,0.00,0.00,0.00,832704,50.82,50.93,53,146499,2.24,2.25,
2026-01-16,00:31:44.776,1064786508,91.24,15669950,17173975,1064786508,100.00,-1,-1,1064786761,90.67,13992566,15431692,1064786761,100.00,-1,-1,1064786966,92.07,16616303,18047236,1064786966,100.00,-1,-1,1064787107,90.16,13913136,15431697,1064787107,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998238811,0.00,0.00,0.00,834207,50.92,51.02,53,141150,2.16,2.16,
2026-01-16,00:31:45.775,1063707575,93.14,17692224,18994778,1063707575,100.00,-1,-1,1063707299,92.26,15577035,16884242,1063707299,100.00,-1,-1,1063707153,92.37,15595848,16884240,1063707153,100.00,-1,-1,1063706974,92.30,15341284,16620421,1063706974,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997224368,0.00,0.00,0.00,832593,50.82,50.97,53,137061,2.10,2.10,
2026-01-16,00:31:46.775,1063682029,91.81,16551577,18028508,1063682029,100.00,-1,-1,1063681970,90.83,13801526,15195456,1063681970,100.00,-1,-1,1063681886,91.66,16249734,17728031,1063681886,100.00,-1,-1,1063681980,91.28,15411455,16883840,1063681980,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997207933,0.00,0.00,0.00,832679,50.82,50.92,53,139844,2.14,2.14,
2026-01-16,00:31:47.778,1067535800,93.74,16405822,17500586,1067535800,100.00,-1,-1,1067535816,92.87,14797278,15933370,1067535816,100.00,-1,-1,1067535897,92.77,14352295,15471534,1067535897,100.00,-1,-1,1067535885,93.94,16997926,18093828,1067535885,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,1000808787,0.00,0.00,0.00,835981,51.02,51.02,53,136600,2.09,2.09,
2026-01-16,00:31:48.778,1063711408,93.24,16809436,18029006,1063711408,100.00,-1,-1,1063711435,92.99,17053319,18339852,1063711435,100.00,-1,-1,1063711330,93.00,16766257,18029005,1063711330,100.00,-1,-1,1063711236,93.23,17098569,18339848,1063711236,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997230037,0.00,0.00,0.00,832846,50.83,50.93,52,135818,2.08,2.08,
2026-01-16,00:31:49.778,1064796334,94.28,21360324,22655241,1064796334,100.00,-1,-1,1064796263,93.46,19512696,20878358,1064796263,100.00,-1,-1,1064796299,93.39,18080906,19359932,1064796299,100.00,-1,-1,1064796295,93.66,19554494,20878358,1064796295,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998246637,0.00,0.00,0.00,833712,50.89,50.99,52,134891,2.06,2.07,
2026-01-16,00:31:50.782,1064746674,92.02,17496235,19013333,1064746674,100.00,-1,-1,1064746815,91.97,18832613,20475900,1064746815,100.00,-1,-1,1064746871,92.27,17543842,19013336,1064746871,100.00,-1,-1,1064746894,92.37,19283597,20877390,1064746894,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998200412,0.00,0.00,0.00,834522,50.94,51.04,52,137650,2.11,2.11,
2026-01-16,00:31:51.778,1063656800,92.12,16607839,18028081,1063656800,100.00,-1,-1,1063656693,92.12,16062727,17436994,1063656693,100.00,-1,-1,1063656628,92.26,16356070,17727610,1063656628,100.00,-1,-1,1063656666,92.02,15787491,17155752,1063656666,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997177226,0.00,0.00,0.00,832754,50.83,50.98,52,136921,2.09,2.10,
2026-01-16,00:31:52.778,1063707797,91.93,17779084,19340141,1063707797,100.00,-1,-1,1063707874,92.05,19582465,21274157,1063707874,100.00,-1,-1,1063707895,91.97,18814155,20455921,1063707895,100.00,-1,-1,1063707845,91.19,17636370,19340142,1063707845,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997225564,0.00,0.00,0.00,832861,50.83,50.99,52,137731,2.11,2.11,
2026-01-16,00:31:53.777,1063696884,93.06,20622697,22160351,1063696884,100.00,-1,-1,1063696802,92.69,20539959,22160350,1063696802,100.00,-1,-1,1063696824,93.20,23604687,25326114,1063696824,100.00,-1,-1,1063696818,92.51,20082174,21708098,1063696818,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997216845,0.00,0.00,0.00,832865,50.83,50.94,52,137064,2.10,2.10,
2026-01-16,00:31:54.779,1064752985,92.41,19292585,20877509,1064752985,100.00,-1,-1,1064752843,92.43,19297827,20877506,1064752843,100.00,-1,-1,1064752738,92.23,18885678,20476014,1064752738,100.00,-1,-1,1064752714,92.64,18969655,20476013,1064752714,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998210903,0.00,0.00,0.00,834651,50.94,51.05,52,137383,2.10,2.11,
